Country,BeachName,BeachRegionalSea,BeachLength_m,BeachType,G1,G3,G4,G5,G7,G8,G9,G10,G11,G12,G13,G14,G15,G16,G17,G18,G19,G21,G22,G23,G24,G25,G26,G27,G28,G29,G30,G31,G32,G33,G34,G35,G36,G37,G40,G41,G42,G43,G44,G45,G46,G47,G49,G50,G52,G53,G54,G56,G57,G58,G59,G60,G62,G63,G64,G65,G66,G67,G68,G69,G70,G71,G72,G73,G76,G77,G79,G80,G82,G83,G84,G85,G86,G87,G88,G89,G90,G91,G92,G93,G95,G96,G97,G98,G99,G100
Italy,Free beach Viale Circe,Mediterranean Sea,100,Sandy,,2,,,,,3,,,,,,,,,,,92,,,22,12,8,1500,5,,18,23,14,7,18,25,,1,,,,,,,,,,,,,3,7,,,17,7,6,,,1,3,,4,,,,,,,,360,,42,,,,,12,,,,,,3,20,5,,,,18
Greece,Lithi,Mediterranean Sea,49,Sandy,,5,2,,8,2,,5,,1,,1,,,,,,104,12,24,12,19,50,658,,,10,4,4,10,4,93,,,4,,,,,,,,30,57,,,,,,,23,18,5,,,,1,2,,,,1,,4,,1,444,19,6,,,,,,,,,,,7,96,,,1,1,1
France,"Rue Tutilenia Bidart, 64210 Bidart, France",North-east Atlantic Ocean,81,,,1000,,,5,5,,50,,,,,,,,,,20,,,,,2,20,,,,2,2,,,,,,,,,,,,,,,5,,,,5,,,5,,,,,,,,,,5,3,,,,,500,,500,,,,,,,,,,,,5,,,,,
Spain,"El Serradal, Castellón/Castelló",Mediterranean Sea,100,Sandy,,11,,,4,,,1,,,,,,,,,,7,,,,,,47,,,6,,,,,6,,,,,,,,,,,,3,5,,,,,,6,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,3,6,,,,
Greece,"Freattyda, Piraeus",Mediterranean Sea,281,Other (mixed),,46,,,50,18,4,,23,11,1,,,,,1,,350,,,,7,46,140,,,51,,,106,,464,,,,,,,,,,,,20,,5,,,,11,,,,3,,,10,2,,,,,,1,,,335,,285,,,,,,,50,,,,,20,,,,2,
Denmark,Seden Strand,Baltic Sea,286,,,2,2,1,,1,,,1,1,,,,,,,,3,,,,2,1,2,,,2,,,6,2,1,,,,,,,,,,,,,,,,,,,,2,,,,,,2,,,20,,,,,,4,2,,,,,,,,,,,,,,3,,1,,
France,"29 Rue des Dunes, 17580 Le Bois-Plage-en-Ré, France",North-east Atlantic Ocean,77,,,9,,,6,10,,10,,,,,,,,,,20,,,,,4,200,,,10,100,1,15,5,,,,,,,,,,,,,50,,,,20,,,2,,,,,,,,,,,10,,,,,10,,30,,,,,,,,,,,,5,,,,,4
Spain,"Cala Salitrona, Murcia",Mediterranean Sea,100,Sandy,,,,,680,,,,,,19,,,,,,,183,,,,,,,,,,,,,,630,,,,,,,,,,,,,,,,,4,,,,,,,,,0,,,,,,,,,475,88,,,,,,,,,,,,,,0,,,,
Bulgaria,obzor detski lager,Black Sea,2805,Sandy,,,13,,14,11,1,,2,,,,,,,,,27,,3,9,4,3,16,,,8,1,,5,3,4,,,,,,,,,,,2,,,,,,,,4,,,,,1,,,,,,4,,,15,1,,,,15,,,,,,2,,,,1,,1,1,3,2,
Bulgaria,obzor detski lager,Black Sea,2805,Sandy,,9,2,,17,29,5,,,,,,,,,,1,53,12,16,62,,8,,3,2,5,6,6,31,3,7,,1,,,,,,,,,2,2,2,,,1,,,,,,,,,,,,,,7,,,54,5,13,3,,3,,,,,,24,,,,2,,1,,,1,3
Bulgaria,obzor detski lager,Black Sea,2805,Sandy,,7,54,,18,29,,,,,,,2,,,,,47,,,,,3,135,,,10,14,,37,,8,,1,,2,,,,,,,,5,2,,,,,,,,,,,,,,,,,,,,32,7,,,15,,,,1,,,,,,,,,,,,1,
France,"Avenue des Cavaliers Anglet, 64600 Anglet, France",North-east Atlantic Ocean,81,,,20,,,1,6,,,,,,,,,,,,,,,,,5,30,,,9,,,2,,,,,,,,,,,,,,9,,,,,,,1,,,,,,,,,,13,2,,,,,25,,14,,,,,,,,,,,,7,,,,,
Switzerland,zürichsee_wollishofen_langendorfm,,50,Rocky,,,4,,,,,1,,,,,,,,,,2,,,1,2,1,97,,,30,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Switzerland,zürichsee_wollishofen_langendorfm,,50,Rocky,,,,,,,,19,,,,,,,,,,3,,,2,2,,280,,,,1,,,3,,,,,,,,,,,,,,,,,,,,1,,,,,,4,19,,,,,,,,,,4,,,,,,,,,,,,3,,,,,,1
Switzerland,zürichsee_wollishofen_langendorfm,,50,Rocky,,,1,,1,,,1,,,,,,,,,,,,1,,3,1,10,,,3,2,1,3,,,,,,,,,,,,,,2,,,,,,,,,,,,,,4,,,,,,,,,2,,1,,,,,,,,,,,,,,,,,
Switzerland,zürichsee_wollishofen_langendorfm,,50,Rocky,,2,1,,,,,,,,,,,,,,,,,1,1,3,104,104,,,8,,,2,,,,,,,,,,,,,,2,,,,,,,,,,,,,,13,,,,,,,,,5,,,,,,,,,,,,,,2,,,,,
Switzerland,zürichsee_wollishofen_langendorfm,,50,Rocky,,1,3,,,,,,,,,,,,,,,1,,2,3,4,,8,,,2,,1,1,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,,,,,,,,,,,
Ireland,silver strand 1000,North-east Atlantic Ocean,446,,,0,0,,0,0,,0,,,,,,1,,,,0,,,,,,0,,,0,,,,0,0,,,,,,,,0,,,,0,,1,,,,,,,,,,,,1,,,,,,0,0,,,,0,,,,,,,,,,,,0,,,,,
Ireland,silver strand 1000,North-east Atlantic Ocean,446,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ireland,silver strand 1000,North-east Atlantic Ocean,446,,,0,0,,0,0,,0,,,,,1,,,,,0,,,,,,0,,,0,,,,0,0,,,,,,,,0,,,,0,,0,,,,,,,,,,,,1,,,,,,0,0,,,,0,,,,,,,,,,,,0,,,,,
Italy,"Spiaggia di Trentova, Agropoli (SA)",Mediterranean Sea,100,,,,,2,,,2,,,,,1,,,,,,56,,,,,9,,,,,,,19,,,,,,,,,,,,,,2,,,,,,,,,,,,,,9,,,1,7,,,,,,,,,,,,,,,,,,,,,,,,
Ireland,Lawlors Strand,North-east Atlantic Ocean,195,Sandy,,1,,,2,,,,,,,,,,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,4,,7,,,,,,,,,,,,,,,,,,,7,,,,4,,,,,,,,,,,,,,,,,
Spain,ospar mutriku 2,North-east Atlantic Ocean,29,Rocky,,16,,,39,,,,,,,,,,,,,38,,,,,2,9,,,,,,1,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,236,,,,,,,,,,,,,,,,,,,,,5
France,"96 Chemin de la Pointe du siège, 14150 Ouistreham, France",North-east Atlantic Ocean,72,,,20,,,4,,,4,,,,,,,,,,100,,,,,,40,,,70,100,1,5,10,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,70,3,,,,,40,,100,,,,,,,,,,,,50,,,,,10
Italy,Piri Piri Maruggio (TA),Unknown,100,,,1,2,2,22,7,11,2,2,2,1,1,,1,,,,52,12,14,7,1,4,24,,1,2,,,16,,5,,,,,,3,,41,,,2,6,,,2,,3,,1,,6,,,,,,1,,6,4,,,,,36,26,97,18,,,,,,2,,,,1,29,1,,,,
Greece,Mikali (base),Mediterranean Sea,389,Pebbels,,17,,,52,44,,12,,,,,,,,,,128,,,,,,2,,,26,,,,,13,,,,,,,,,,,,34,,2,,,,,,,,,,,,,,,,,,25,97,,,,75,,,,,,,,,,,,,,,,,
Spain,Barceloneta beach,Mediterranean Sea,47,Other (mixed),,2,4,,2,5,,0,,,,,,,,,,50,,,,,,96,,,1,,,,4,158,,,,,,,,3,,,,2,,0,,,,,,,,,,,,,,,,,,1,59,,,,2,,,,,,,,,,,,0,,,,,
France,"10 Rue de Mer Melen, 22610 Pleubian, France",North-east Atlantic Ocean,73,,,20,,,5,10,,10,,,,,,,,,,10,,,,,5,50,,,5,10,,5,1,1,,,,,,,,,,,,100,,,,50,,,1,,,,,,,,,,10,5,,,,,20,,100,,,,,,,,,,,,20,,,,,1
France,"1237 Route de la Barre, 40220 Tarnos, France",North-east Atlantic Ocean,750,,,,,,,,,46,,,,,,,,,,26,,,,,2,262,,,,18,1,,1,4,,,,,,,,,5,,,50,,,,5,,,20,,,,,,,,,,7,,,,,,222,,220,,,,,,,,,,,,3,,,,,1
Spain,"33 Musurieta Auzoa, 48650 Elexalde, Espagne",North-east Atlantic Ocean,81,,,118,22,,9,,,136,,,,,,,,,,19,,,,,,,,,,1,5,7,,1,,,,,,,,,,,,,,,,23,,,1,,,,,,,,,,,6,,,,,460,,12,,,,,,,,,,,,9,,,,,
,DF Malherbe,Unknown,187,Other (mixed),,,,,,,,,,,,,,,,,,4,,,,,,28,,,3,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,24,,,,,,,,,,,,,,,,,,,,,
Italy,Torre San Marco Agropoli (SA),Unknown,100,,,,3,,16,20,5,,,,,,,,,2,2,,,13,,,3,13,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,1,,,,,15,,30,5,1,,,,,,,,,,3,,,,,
,Clevedon,North-east Atlantic Ocean,497,Sandy,,4,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spain,"CA-305, 39120, Cantabria, Espa?a",North-east Atlantic Ocean,350,,,52,,,3,21,,4,,,6,,,,,,,108,,,,,1,10,,,6,14,1,12,6,9,,,,,,,,,7,,,229,,,,17,,,15,,,,,,,,,,1,16,,,,,225,,36,,,,,,,,,,,,89,,,,,6
Switzerland,katzenbach_zuerich_sanesim,,99,Other (mixed),,,1,,,,,,,,,,,,,,,1,,,,,,8,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,
Switzerland,katzenbach_zuerich_sanesim,,99,Other (mixed),,,1,,1,,,,,,,,,,,,,,,,,,,6,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,
Switzerland,katzenbach_zuerich_sanesim,,99,Other (mixed),,,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,
Switzerland,katzenbach_zuerich_sanesim,,99,Other (mixed),,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,3,,,,,,,,,1,,,,,,,,,,,,,,,,,,,
Switzerland,katzenbach_zuerich_sanesim,,99,Other (mixed),,0,3,,0,0,,0,,,0,,,,,,,0,0,0,0,0,0,1,0,,6,0,0,0,0,0,,0,,,,,,,,,0,0,0,,,,,,0,,,,,0,0,0,,,0,0,,,,,0,0,0,0,,,,0,,0,0,0,,0,0,1,,,0,0
Belgium,"41 Zeedijk, 8380 zeebrugge, Belgique",North-east Atlantic Ocean,69,,,300,,,50,50,,20,,,,,,,,,,50,,,,,6,100,,,50,10,10,15,40,2,,,,,,,,,,,,10,,,,200,,,10,,,,,,,,,,0,6,,,,,100,,10,,,,,,,,,,,,5,,,,,5
Italy,"Spiaggia Marina di Priolo, Priolo Gargallo (SR)",Mediterranean Sea,100,,,14,1,,16,65,17,9,,,3,,1,7,,3,,5,,,,,,15,,,4,,,21,11,1,,,,,,,,,,,5,,,,3,3,,,,,,,,,,2,,,,,,,,,20,9,5,,,,,,,,,,,,,,,1,,
Romania,Tuzla,Black Sea,99,Sandy,,2,21,1,2,5,,9,,,,,,,,,,15,1,3,2,7,1,527,,,72,1,,4,4,39,4,3,,,,,,,,,,9,1,,,2,,,,,,,,,1,,1,,,1,,53,,,30,,13,,,,,2,1,2,,,,,9,,,,1,1
Romania,Tuzla,Black Sea,99,Sandy,,2,11,3,1,3,,12,,1,,,,,,,,37,11,14,4,,2,36,,,14,2,7,10,,6,7,,,,,,,,,,,20,,,,,,,,,,,,,1,1,,,,,,17,,,50,,4,,,,,,,,,,,,21,,,,1,
Ukraine,Beach in the Karolino-Bugaz (1),Black Sea,108,Sandy,,16,,17,7,2,,,,,,,,,,,,24,,7,1,,,,,,,,3,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,5,,,,
,"Parc nautique d?partemental de l''?le de Monsieur, 4 Rue de Saint-Cloud, 92310 S?vres, France",Unknown,3000,,,,,,200,,,284,,,200,,,,,,,96,,,,,,350,,,,,,106,5,50,,,,,,,,,,,,,,,,16,,,,,,,,,,,,,,,,,,,173,,,,,,,,,,,,,,,,,,,5
,"Parc nautique d?partemental de l''?le de Monsieur, 4 Rue de Saint-Cloud, 92310 S?vres, France",Unknown,3000,,,65,,,92,,,1063,,,92,,,,,,,141,,,,,,2256,,,,,,230,25,42,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,743,,126,,,,,,,,,,,,,,,,,28
,"Parc nautique d?partemental de l''?le de Monsieur, 4 Rue de Saint-Cloud, 92310 S?vres, France",Unknown,3000,,,73,,,,196,,585,,,,,,,,,,124,,,,,,24,,,,,,170,2,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,430,,280,,,,,,,,,,,,12,,,,,37
,"5 Prom. Maurice Rouvier, 06230 Saint-Jean-Cap-Ferrat, France",Mediterranean Sea,350,,,103,,,,2,,,,,2,,,,,,,102,,,,,3,56,,,,18,,,145,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,,,,,,,,214,,,,,,,,,,,,18,,,,,
,"5 Prom. Maurice Rouvier, 06230 Saint-Jean-Cap-Ferrat, France",Mediterranean Sea,350,,,27,,,2,,,,,,,,,,,,,63,,,,,5,2,,,,12,,1,6,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,134,,,,,,,,,,,,,,,,,
,"5 Prom. Maurice Rouvier, 06230 Saint-Jean-Cap-Ferrat, France",Mediterranean Sea,350,,,147,,,,,,,,,6,,,,,,,230,,,,,4,138,,,,101,,,55,51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,100,,139,,,,,,,,,,,,50,,,,,
