
Country Name, Tons Exported, End in the Ocean, End in the beach, 
,,,,Tons to Australia, 1.0,From Djibouti, 7.0,
,,,,Tons to Mauritius, 1.0,From Somalia, 6.0,
,,,,,,From Madagascar, 6.0,
,,,,,,From Solomon Islands, 5.0,
,,,,,,From North Korea, 4.0,
,,,,,,From South Africa, 4.0,
,,,,,,From Iran, 3.0,
,,,,,,From Papua New Guinea, 3.0,
,,,,,,From Brunei, 2.0,
,,,,,,From Maldives, 2.0,
,,,,,,From Cambodia, 2.0,
,,,,,,From Brazil, 1.0,
,,,,,,From Mexico, 1.0,
,,,,,,From Japan, 1.0,
,,,,,,From Oman, 1.0,
,,,,,,From El Salvador, 0.0,
,,,,,,From Seychelles, 0.0,
,,,,,,From Micronesia, 0.0,
,,,,,,From Argentina, 0.0,
,,,,,,From Palau, 0.0,
,,,,,,From Vanuatu, 0.0,
,,,,,,From Mauritius, 0.0,
,,,,,,From United Arab Emirates, 0.0,

Country Name, Tons Exported, End in the Ocean, End in the beach, 
barbados, 224, 87.0, 137.0 
,,,,Tons to United States, 43.0,From Morocco, 1.0,
,,,,Tons to Mexico, 25.0,
,,,,Tons to Dominican Republic, 11.0,
,,,,Tons to Belize, 11.0,
,,,,Tons to Cuba, 9.0,
,,,,Tons to Panama, 6.0,
,,,,Tons to Guatemala, 5.0,
,,,,Tons to Honduras, 3.0,
,,,,Tons to Jamaica, 3.0,
,,,,Tons to United Kingdom, 3.0,
,,,,Tons to Costa Rica, 3.0,
,,,,Tons to Haiti, 2.0,
,,,,Tons to Bahamas, 2.0,
,,,,Tons to France, 2.0,
,,,,Tons to Nicaragua, 2.0,
,,,,Tons to Spain, 1.0,
,,,,Tons to Martinique, 1.0,
,,,,Tons to Norway, 1.0,
,,,,Tons to Puerto Rico, 0.0,
,,,,Tons to Portugal, 0.0,
,,,,Tons to Western Sahara, 0.0,
,,,,Tons to Colombia, 0.0,
,,,,Tons to Denmark, 0.0,
,,,,Tons to Ireland, 0.0,
,,,,Tons to Morocco, 0.0,
,,,,Tons to Turks and Caicos Islands, 0.0,
,,,,Tons to Tunisia, 0.0,
,,,,Tons to Venezuela, 0.0,
