,BeachCountry,BeachName,BeachRegionalSea,BeachLength_m,BeachType,G1,G3,G4,G5,G7,G8,G9,G10,G11,G12,G13,G14,G15,G16,G17,G18,G19,G21,G22,G23,G24,G25,G26,G27,G28,G29,G30,G31,G32,G33,G34,G35,G36,G37,G40,G41,G42,G43,G44,G45,G46,G47,G49,G50,G52,G53,G54,G56,G57,G58,G59,G60,G62,G63,G64,G65,G66,G67,G68,G69,G70,G71,G72,G73,G76,G77,G79,G80,G82,G83,G84,G85,G86,G87,G88,G89,G90,G91,G92,G93,G95,G96,G97,G98,G99,G100,G101,G102,G124,G125,G126,G127,G128,G129,G130,G131,G132,G133,G134,G137,G138,G139,G140,G141,G142,G143,G144,G145,G147,G148,G150,G151,G152,G153,G154,G155,G156,G158,G159,G160,G161,G162,G163,G164,G165,G166,G167,G171,G172,G174,G175,G176,G177,G178,G179,G180,G181,G182,G184,G186,G187,G188,G189,G190,G191,G193,G194,G195,G198,G199,G200,G201,G202,G203,G204,G205,G206,G207,G208,G210,G211,G213
793,France,"23 Boulevard Aristide Briand, 14150 Ouistreham, France",North-east Atlantic Ocean,72,,,6.0,,,5.0,2.0,,,,,,,,,,,,50.0,,,,,5.0,120.0,,,,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,50.0,,,
794,Georgia,Kvavilnari,Black Sea,50,Sandy,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
795,Georgia,Kvavilnari,Black Sea,50,Sandy,,,,,160.0,,35.0,8.0,,9.0,,,,,,2.0,,90.0,,,,,,,,,,,,56.0,,,,,,,,,,,,,,1.0,,2.0,,,,,,,,,,,,,,,,,,,140.0,,,,60.0,,,,,,,,,,,,,,,,1.0,17.0,,,,,,,,,,,,,,,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,7.0,,,,,,,,,,,,,,,,,,,,,8.0,,1.0,,,,,,,,1.0,
796,Switzerland,Thur_Schoenenberg_SchaerA,,96,Other (mixed),,1.0,0.0,,0.0,0.0,,0.0,,,0.0,,,,,,,0.0,0.0,0.0,0.0,1.0,0.0,4.0,0.0,,1.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,,,,,,,0.0,0.0,1.0,,,,,,0.0,,,,,0.0,0.0,1.0,,,0.0,1.0,,,,,4.0,0.0,0.0,0.0,,,,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,,0.0,0.0,1.0,,2.0,0.0,0.0,,0.0,,,0.0,,0.0,1.0,0.0,0.0,,,,0.0,,0.0,0.0,0.0,,,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,,,,,0.0,,0.0,0.0,0.0,,1.0,1.0,0.0,0.0,0.0,,,0.0,,,,0.0,,,1.0,,1.0,0.0,4.0,1.0,0.0,,,0.0,1.0,,,,2.0,0.0,0.0,0.0
797,Switzerland,Thur_Schoenenberg_SchaerA,,96,Other (mixed),,,,,,,,1.0,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,1.0,,,,,,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,
798,Switzerland,Thur_Schoenenberg_SchaerA,,96,Other (mixed),,,,,,,,,,,,,,,,,,,,,1.0,,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,9.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,
799,Switzerland,Thur_Schoenenberg_SchaerA,,96,Other (mixed),,0.0,0.0,,0.0,0.0,,1.0,,,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,,,,,,,0.0,0.0,0.0,,,,,,0.0,,,,,0.0,0.0,4.0,,,0.0,0.0,,,,,1.0,0.0,0.0,0.0,,,,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,,0.0,0.0,0.0,,0.0,0.0,0.0,,1.0,,,0.0,,0.0,0.0,0.0,0.0,,,,0.0,,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,,,,,0.0,,0.0,0.0,0.0,,3.0,0.0,1.0,0.0,0.0,,,0.0,,,,0.0,,,0.0,,0.0,0.0,0.0,1.0,0.0,,,0.0,0.0,,,,0.0,0.0,0.0,0.0
800,France,"505 Rue du Theven Bras, 29250 Santec, France",North-east Atlantic Ocean,73,,,40.0,2.0,,30.0,,,30.0,,,,,,,,,,15.0,,,,,3.0,,,,10.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,45.0,,,,25.0,,,5.0,,,,,,,,,,3.0,6.0,,,,,30.0,,7.0,,,,,,,,,,,,1.0,,,,,1.0,,,,1.0,,,,,1.0,,,,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,15.0,,,,,,,,,,,,,,,,,,1.0,,6.0,,,,,,,,20.0,,,
801,,"3093 Pont Neuf, 75001 Paris, France",Unknown,2000,,,20.0,,,8.0,5.0,,4.0,,,,,,,,,,22.0,,,,,6.0,6000.0,,,,,,12.0,23.0,21.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,24.0,,,66.0,,,,,,,,,,,,,,,28.0,,42.0,,,,,,,,10.0,,,0.0
802,France,"Rue de Fontreven, 22120 Hillion, France",North-east Atlantic Ocean,73,,,15.0,,,5.0,5.0,,25.0,,,,,,,,,,25.0,,,,,1.0,10.0,,,15.0,30.0,1.0,5.0,5.0,,,,,,,,,,,,,50.0,,,,80.0,,,,,,,,,,,,,30.0,1.0,,,,,50.0,,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,50.0,,,
803,,"10 Avenue Denis Semeria, 06230 Saint-Jean-Cap-Ferrat, France",Mediterranean Sea,350,,,65.0,,,,,,,,,5.0,,,,,,,82.0,,,,,9.0,3.0,,,,15.0,,,12.0,22.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,52.0,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
804,Switzerland,sihlsee_einsiedeln_schilligerllacherl,,66,,,0.0,0.0,,0.0,0.0,,0.0,,,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,,4.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,,,,,,,0.0,1.0,0.0,,,,,,0.0,,,,,0.0,2.0,0.0,,,0.0,0.0,,,,,12.0,0.0,1.0,0.0,,,,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,,,0.0,,0.0,2.0,0.0,0.0,,,,0.0,,0.0,1.0,0.0,,,0.0,2.0,0.0,0.0,0.0,10.0,2.0,0.0,0.0,,,,,0.0,,0.0,0.0,0.0,,0.0,0.0,2.0,7.0,0.0,,,0.0,,,,0.0,,,0.0,,0.0,0.0,1.0,0.0,0.0,,,0.0,0.0,,,,0.0,0.0,3.0,0.0
805,Switzerland,sihlsee_einsiedeln_schilligerllacherl,,66,,,0.0,0.0,,0.0,0.0,,0.0,,,0.0,,,,,,,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,,,,,,,0.0,0.0,0.0,,,,,,0.0,,,,,0.0,0.0,2.0,,,0.0,0.0,,,,,4.0,0.0,0.0,0.0,,,,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,,,0.0,,0.0,1.0,0.0,0.0,,,,0.0,,0.0,2.0,0.0,,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,,,,0.0,,1.0,0.0,0.0,,0.0,0.0,0.0,3.0,0.0,,,0.0,,,,0.0,,,0.0,,0.0,0.0,3.0,0.0,0.0,,,0.0,1.0,,,,5.0,0.0,1.0,0.0
806,,"Unnamed Road, 40220 Tarnos, France",North-east Atlantic Ocean,150,,,2.0,,,,4.0,,80.0,,,4.0,,,,,,,288.0,,,,,,262.0,,,,,,10.0,1.0,12.0,,,,,,,,,,,,655.0,,,,,,,,,,,,,,,,,,,,,,,760.0,,19.0,,,,,,,,,,,,157.0,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,0.0
807,,"Unnamed Road, 40220 Tarnos, France",North-east Atlantic Ocean,150,,,39.0,,,,5.0,,,,,,,,,,,,45.0,,,,,1.0,114.0,,,95.0,4.0,13.0,11.0,4.0,14.0,,,,,,,,,,,,35.0,,,,81.0,,,11.0,,,,,,,,,,11.0,,,,,,263.0,,31.0,,,,,,,,,,,,85.0,,,,,14.0,,,,5.0,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,0.0
808,Spain,"Zurriola Hiribidea, 39, 20002 Donostia, Gipuzkoa, Espagne",North-east Atlantic Ocean,750,,,,,,,42.0,,,,,13.0,,,,,,,371.0,,,,,6.0,136.0,,,282.0,19.0,,4.0,,21.0,,,,,,,,,7.0,,,,,,,47.0,,,2.0,,,,,,,,,,,2.0,,,,,67.0,,42.0,,,,,,,,,,,,44.0,,,,,19.0,,,,,,,,,,,,,,,,,,,,,13.0,3.0,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,0.0
