,BeachCountry,BeachName,BeachRegionalSea,BeachLength_m,BeachType,G1,G3,G4,G5,G7,G8,G9,G10,G11,G12,G13,G14,G15,G16,G17,G18,G19,G21,G22,G23,G24,G25,G26,G27,G28,G29,G30,G31,G32,G33,G34,G35,G36,G37,G40,G41,G42,G43,G44,G45,G46,G47,G49,G50,G52,G53,G54,G56,G57,G58,G59,G60,G62,G63,G64,G65,G66,G67,G68,G69,G70,G71,G72,G73,G76,G77,G79,G80,G82,G83,G84,G85,G86,G87,G88,G89,G90,G91,G92,G93,G95,G96,G97,G98,G99,G100,G101,G102,G124,G125,G126,G127,G128,G129,G130,G131,G132,G133,G134,G137,G138,G139,G140,G141,G142,G143,G144,G145,G147,G148,G150,G151,G152,G153,G154,G155,G156,G158,G159,G160,G161,G162,G163,G164,G165,G166,G167,G171,G172,G174,G175,G176,G177,G178,G179,G180,G181,G182,G184,G186,G187,G188,G189,G190,G191,G193,G194,G195,G198,G199,G200,G201,G202,G203,G204,G205,G206,G207,G208,G210,G211,G213
1309,Germany,Rhein_Basel_BlarerP_2,,29,,,,,,,,,,,,,,,,,,,,,,2.0,,,195.0,,,,1.0,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,1.0,,,,,,11.0,,1.0,,,,,,,,1.0,,,,7.0,,,,,,,,3.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,29.0,,,,,,,,,,,,,,34.0,,14.0,,,,,,,,,,,,,,1.0,,18.0,,,,,,,,,,9.0,,,
1310,Germany,Rhein_Basel_BlarerP_2,,29,,,0.0,2.0,,0.0,0.0,,0.0,,,0.0,,,,,,,2.0,0.0,1.0,0.0,0.0,0.0,98.0,0.0,,3.0,1.0,0.0,2.0,0.0,1.0,,0.0,,,,,,,,,0.0,0.0,0.0,,,,,,0.0,,,,,0.0,0.0,1.0,,,0.0,0.0,,,,,10.0,0.0,12.0,0.0,,,,0.0,,0.0,0.0,0.0,,0.0,3.0,0.0,,,0.0,0.0,0.0,,1.0,0.0,0.0,,0.0,,,1.0,,0.0,0.0,0.0,0.0,,,,0.0,,0.0,0.0,0.0,,,0.0,1.0,0.0,0.0,2.0,7.0,1.0,0.0,0.0,,,,,0.0,,0.0,0.0,0.0,,0.0,0.0,27.0,27.0,0.0,,,0.0,,,,0.0,,,0.0,,0.0,0.0,6.0,0.0,0.0,,,0.0,1.0,,,,45.0,0.0,0.0,0.0
1311,Germany,Rhein_Basel_BlarerP_2,,29,,,0.0,0.0,,0.0,0.0,,0.0,,,0.0,,,,,,,1.0,0.0,0.0,0.0,2.0,0.0,371.0,0.0,,5.0,1.0,0.0,0.0,0.0,0.0,,0.0,,,,,,,,,0.0,2.0,0.0,,,,,,0.0,,,,,0.0,0.0,6.0,,,0.0,0.0,,,,,0.0,0.0,4.0,32.0,,,,0.0,,0.0,0.0,0.0,,0.0,2.0,0.0,,,0.0,0.0,0.0,,0.0,2.0,0.0,,0.0,,,0.0,,0.0,0.0,0.0,0.0,,,,0.0,,0.0,1.0,0.0,,,16.0,0.0,0.0,0.0,0.0,82.0,0.0,1.0,0.0,,,,,2.0,,0.0,0.0,0.0,,0.0,0.0,12.0,37.0,0.0,,,0.0,,,,0.0,,,0.0,,0.0,0.0,0.0,25.0,0.0,,,0.0,0.0,,,,12.0,0.0,0.0,0.0
1312,Switzerland,Sihl_zuerich_eichenbergerD,,47,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,1.0,,,
1313,Switzerland,Sihl_zuerich_eichenbergerD,,47,,,,,,,1.0,,,,,,,,,,,,2.0,,,1.0,2.0,,25.0,,,2.0,,4.0,2.0,4.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,7.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,2.0,1.0,,4.0,6.0,8.0,,,,,,,,,,,,,8.0,,1.0,9.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,1.0,,,
1314,Switzerland,Sihl_zuerich_eichenbergerD,,47,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1315,Switzerland,Sihl_zuerich_eichenbergerD,,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,
1316,Denmark,Grenaa,North-east Atlantic Ocean,1740,,,40.0,,,6.0,,,12.0,,,,,,,,,,45.0,,,,,,304.0,,,45.0,,8.0,,5.0,17.0,,,,,,,,,,,,,,2.0,11.0,,2.0,,1.0,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,1.0,,,,,,2.0,,,,,,,,10.0,,,,,,7.0,,4.0,,,,,,,,,,,2.0,,4.0,,6.0,,,,,,,,,,,,18.0,,,,,,19.0,,33.0,15.0,1.0,,,1.0,,,,,,,,,,,,,12.0,,,,,,,,1.0,,1.0,
1317,Switzerland,Inn_Pradella_KohlT,,74,Pebbels,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,
1318,Switzerland,Inn_Pradella_KohlT,,74,Pebbels,,0.0,0.0,,0.0,0.0,,0.0,,,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,,,,,,,0.0,0.0,0.0,,,,,,0.0,,,,,0.0,0.0,0.0,,,0.0,0.0,,,,,0.0,0.0,0.0,0.0,,,,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,,,0.0,,0.0,0.0,0.0,0.0,,,,0.0,,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,,0.0,,,,0.0,,,0.0,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,,,0.0,0.0,0.0,0.0
1319,Switzerland,Inn_Pradella_KohlT,,74,Pebbels,,0.0,0.0,,0.0,0.0,,0.0,,,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,0.0,0.0,1.0,0.0,0.0,0.0,,0.0,,,,,,,,,0.0,0.0,0.0,,,,,,0.0,,,,,0.0,0.0,0.0,,,0.0,0.0,,,,,1.0,0.0,0.0,0.0,,,,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,,,0.0,,0.0,0.0,0.0,0.0,,,,0.0,,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,,,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,,0.0,,,,0.0,,,0.0,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,,,0.0,0.0,0.0,0.0
1320,Switzerland,Inn_Pradella_KohlT,,74,Pebbels,,1.0,0.0,,0.0,0.0,,0.0,,,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,,,,,,,0.0,0.0,0.0,,,,,,0.0,,,,,0.0,0.0,1.0,,,0.0,0.0,,,,,1.0,0.0,0.0,0.0,,,,0.0,,2.0,0.0,0.0,,0.0,0.0,0.0,,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,,,0.0,,0.0,1.0,0.0,0.0,,,,0.0,,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,,0.0,,,,0.0,,,0.0,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,,,0.0,0.0,0.0,0.0
1321,Ireland,carne beach co wexford,North-east Atlantic Ocean,76,,,0.0,1.0,,1.0,0.0,,1.0,,,,,,,,,,0.0,,,,,,0.0,,,1.0,,,,0.0,0.0,1.0,,,1.0,,,,0.0,,,1.0,0.0,,0.0,,,,,,,,,,,,1.0,,,,,,0.0,0.0,,,,0.0,,,,,,,,,,,,0.0,,,,,,,,0.0,1.0,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,
1322,Ireland,carne beach co wexford,North-east Atlantic Ocean,76,,,1.0,1.0,,0.0,1.0,,1.0,,,,,,,,,,0.0,,,,,,0.0,,,0.0,1.0,,,0.0,0.0,,,,,,,,0.0,,,,1.0,,0.0,1.0,,,,,,,,,,,,,,,,,0.0,1.0,,,,0.0,,,,,,,,,,,,0.0,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,0.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,
1323,Ireland,carne beach co wexford,North-east Atlantic Ocean,76,,,,,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,3.0,,1.0,,,,,,,,,,,,,,,1.0,,2.0,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1324,Spain,"1 Portu Kalea, 48360 Mundaka, Espagne",North-east Atlantic Ocean,81,,,40.0,,,10.0,3.0,,40.0,,,,,,,,,,5.0,,,,,,,,,60.0,,,,5.0,,,,,,,,,,,,,,,,,5.0,,,2.0,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1325,Switzerland,Aare_Elfenau_cataldiv,,19,,,0.0,0.0,,0.0,0.0,,0.0,,,0.0,,,,,,,0.0,0.0,0.0,0.0,2.0,0.0,6.0,0.0,,1.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,,,,,,,0.0,2.0,0.0,,,,,,0.0,,,,,0.0,1.0,2.0,,,0.0,0.0,,,,,0.0,0.0,0.0,0.0,,,,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,,,1.0,,0.0,0.0,0.0,0.0,,,,0.0,,0.0,0.0,0.0,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,,0.0,56.0,0.0,,0.0,0.0,0.0,1.0,0.0,,,0.0,,,,0.0,,,0.0,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,,,0.0,0.0,0.0,0.0
1326,Switzerland,limmat_dietikon_keiserp,,62,Pebbels,,,3.0,,,,,1.0,,,,,,,,,,1.0,,,,1.0,,4.0,,,2.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,1.0,,,,,,,1.0,,2.0,,,,,,22.0,,,,1.0,1.0,,1.0,,,,,,,,,,,2.0,,,,,1.0,,,2.0,,,,3.0,1.0,2.0,,,3.0,,,,,,,,,,,,,,6.0,,2.0,2.0,,,,1.0,,,,,,,1.0,,,,4.0,,,,,,3.0,,,,14.0,,,
1327,Switzerland,limmat_dietikon_keiserp,,62,Pebbels,,,1.0,,2.0,3.0,,2.0,,,,,,,,,,1.0,,,,1.0,,14.0,,,8.0,,,5.0,1.0,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,5.0,,,,1.0,,,,,20.0,1.0,,,,,,,,,,,,,,1.0,,,,,,,15.0,,1.0,,,,,,,1.0,,,,,,,,,,3.0,,,,,2.0,,,,1.0,1.0,,,,,,,,,,,,,14.0,,,4.0,,,,,,,,,,,1.0,,,,5.0,,1.0,,,,3.0,,,,3.0,30.0,,
1328,Switzerland,limmat_dietikon_keiserp,,62,Pebbels,,4.0,3.0,,5.0,3.0,,1.0,,,,,,,,,,,,1.0,,8.0,2.0,60.0,,,3.0,,,,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,25.0,,,,,,,,,4.0,,,,,,,,,,,,,,10.0,,,,,,2.0,,,,,,,,,,,,,1.0,2.0,,,,,,,1.0,,,,5.0,8.0,15.0,,,20.0,20.0,,,,,,,1.0,,,,,,4.0,,,3.0,3.0,,,,,,,,,,3.0,,,,2.0,5.0,,,,,,,,,,,1.0,
1329,Switzerland,limmat_dietikon_keiserp,,62,Pebbels,,1.0,3.0,,7.0,5.0,,1.0,,,,,,,,,,,,2.0,,4.0,1.0,4.0,,,11.0,,,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,1.0,,,,,1.0,,3.0,,,,,,,,,1.0,,1.0,,,,,,,,,,,,1.0,4.0,2.0,,,5.0,,,,,,,,1.0,,,,,,18.0,,4.0,1.0,1.0,,,,,,,,,,,,,,,,,,,5.0,,,,,2.0,,,
1330,Switzerland,limmat_dietikon_keiserp,,62,Pebbels,,1.0,,,,1.0,,,,,,,,,,,,1.0,,,,,2.0,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,1.0,,,,,,1.0,,,,,,,,,,,,,,1.0,3.0,,,,,,,,,2.0,,,,,,,,,,,,,,12.0,,3.0,,2.0,,,,,,,,,,,,,,,,1.0,,,,,,,,1.0,,,
1331,Switzerland,Sihl_Horgen_BucherF,,24,,,0.0,0.0,,1.0,0.0,,0.0,,,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,,4.0,0.0,2.0,0.0,0.0,0.0,,0.0,,,,,,,,,0.0,0.0,0.0,,,,,,0.0,,,,,0.0,0.0,1.0,,,0.0,0.0,,,,,1.0,0.0,1.0,0.0,,,,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,,,0.0,,0.0,0.0,0.0,0.0,,,,0.0,,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,,,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,2.0,0.0,,,0.0,,,,0.0,,,1.0,,0.0,0.0,1.0,0.0,0.0,,,0.0,1.0,,,,0.0,0.0,0.0,0.0
1332,Switzerland,Sihl_Horgen_BucherF,,24,,,1.0,8.0,,0.0,0.0,,0.0,,,0.0,,,,,,,2.0,0.0,0.0,1.0,0.0,0.0,4.0,0.0,,2.0,0.0,0.0,0.0,0.0,1.0,,0.0,,,,,,,,,0.0,2.0,1.0,,,,,,1.0,,,,,0.0,1.0,1.0,,,0.0,0.0,,,,,5.0,1.0,1.0,0.0,,,,1.0,,1.0,0.0,0.0,,1.0,0.0,0.0,,,0.0,1.0,1.0,,0.0,1.0,0.0,,0.0,,,0.0,,1.0,0.0,0.0,0.0,,,,0.0,,0.0,1.0,0.0,,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,,,,,0.0,,0.0,0.0,0.0,,4.0,1.0,0.0,0.0,0.0,,,4.0,,,,0.0,,,1.0,,1.0,0.0,1.0,1.0,0.0,,,0.0,2.0,,,,0.0,0.0,2.0,0.0
1333,Switzerland,Sihl_Horgen_BucherF,,24,,,2.0,1.0,,1.0,0.0,,1.0,,,0.0,,,,,,,1.0,0.0,1.0,0.0,0.0,0.0,8.0,0.0,,1.0,0.0,0.0,0.0,2.0,0.0,,1.0,,,,,,,,,0.0,1.0,1.0,,,,,,0.0,,,,,0.0,0.0,1.0,,,0.0,0.0,,,,,0.0,0.0,0.0,1.0,,,,0.0,,0.0,1.0,0.0,,1.0,1.0,0.0,,,0.0,1.0,2.0,,0.0,1.0,1.0,,0.0,,,0.0,,0.0,1.0,1.0,0.0,,,,0.0,,1.0,0.0,1.0,,,1.0,1.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,,0.0,0.0,1.0,,0.0,1.0,0.0,4.0,1.0,,,0.0,,,,0.0,,,2.0,,0.0,0.0,0.0,0.0,1.0,,,0.0,0.0,,,,0.0,0.0,1.0,1.0
1334,France,"38 Avenue de Montredon, 13008 Marseille, France",Mediterranean Sea,81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.0,,,,,,,,,,,,,,,,,,,,50.0,,,,,,,,,,,
1335,Italy,"Spiaggia del Foro di Ortona, Chieti (CH)",Mediterranean Sea,100,,,10.0,,,7.0,10.0,1.0,,1.0,1.0,1.0,1.0,,,,5.0,,30.0,,3.0,37.0,,,27.0,2.0,,3.0,4.0,,3.0,,,2.0,,1.0,,1.0,,,21.0,,,2.0,,,4.0,,5.0,,1.0,,,,,,1.0,11.0,4.0,,,,1.0,,2.0,,,4.0,1.0,,2.0,,,,,,,3.0,,,,,,,,,,,,2.0,,1.0,,6.0,,,,,3.0,4.0,1.0,,,2.0,,,,,,,,,,,,,,,,1.0,,,,,,5.0,,,,,1.0,3.0,,,,,,,,1.0,,,,,,,,,,,,2.0,,,,,,,,,,,
1336,Italy,Spiaggia di Torrette Ancona (AN),Mediterranean Sea,100,,,,3.0,,5.0,2.0,7.0,2.0,3.0,,,,,,,,,2.0,,6.0,2.0,,,8.0,,,,,,6.0,2.0,3.0,,,4.0,,,,,,,,3.0,,,10.0,,,3.0,,,,,,,4.0,,3.0,,,,2.0,,,,,23.0,4.0,5.0,2.0,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,2.0,3.0,1.0,,,,,,,,,,,2.0,6.0,,1.0,,1.0,,,,2.0,,,,,,,1.0,,,3.0,,1.0,,,,,,,,,,,2.0,,,,,,,5.0,,,,1.0,,,,,,,
1337,,Ballyhenry bay,North-east Atlantic Ocean,551,Other (mixed),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1338,Switzerland,aare_rupperswil_badert,,46,,,0.0,1.0,,0.0,0.0,,0.0,,,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,,,,,,,0.0,0.0,0.0,,,,,,0.0,,,,,0.0,0.0,0.0,,,0.0,0.0,,,,,1.0,0.0,0.0,0.0,,,,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,,,0.0,,0.0,0.0,0.0,0.0,,,,0.0,,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,,,,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,1.0,0.0,,,0.0,,,,0.0,,,0.0,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,,,0.0,0.0,0.0,0.0
1339,Switzerland,aare_rupperswil_badert,,46,,,0.0,0.0,,0.0,0.0,,0.0,,,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,,,,,,,0.0,0.0,0.0,,,,,,0.0,,,,,0.0,0.0,0.0,,,0.0,0.0,,,,,0.0,0.0,0.0,0.0,,,,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,,,0.0,,0.0,0.0,0.0,0.0,,,,0.0,,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,,,,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,,0.0,,,,0.0,,,0.0,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,,,0.0,0.0,0.0,0.0
1340,Switzerland,aare_rupperswil_badert,,46,,,0.0,0.0,,0.0,0.0,,0.0,,,0.0,,,,,,,1.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,,,,,,,0.0,0.0,0.0,,,,,,0.0,,,,,0.0,0.0,0.0,,,0.0,0.0,,,,,0.0,0.0,0.0,0.0,,,,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,,,0.0,,0.0,0.0,0.0,0.0,,,,1.0,,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,,,,,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,,0.0,,,,0.0,,,0.0,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,,,0.0,0.0,0.0,0.0
1341,Switzerland,aare_rupperswil_badert,,46,,,0.0,0.0,,0.0,0.0,,0.0,,,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,,3.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,,,,,,,0.0,0.0,0.0,,,,,,0.0,,,,,0.0,0.0,0.0,,,0.0,0.0,,,,,0.0,0.0,0.0,0.0,,,,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,,0.0,0.0,2.0,,0.0,0.0,0.0,,0.0,,,0.0,,0.0,0.0,0.0,0.0,,,,0.0,,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,,,0.0,,0.0,0.0,0.0,,0.0,0.0,1.0,0.0,0.0,,,0.0,,,,0.0,,,0.0,,0.0,0.0,1.0,0.0,0.0,,,0.0,0.0,,,,0.0,0.0,0.0,0.0
1342,Denmark,Skomagerkrogen,North-east Atlantic Ocean,100,Sandy,,3.0,3.0,,1.0,,,,,,,,,,,,,8.0,,1.0,2.0,,,7.0,,,5.0,1.0,1.0,1.0,,2.0,,1.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,2.0,,,,,,58.0,1.0,2.0,,,,,1.0,,,,29.0,,,10.0,10.0,,,1.0,1.0,,,,,,,,,,,,,,1.0,,,,,,,,7.0,,,,,,1.0,,,69.0,1.0,,,,,,,,,,12.0,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,1.0,,,6.0,,,,1.0,2.0,,
1343,Denmark,Skomagerkrogen,North-east Atlantic Ocean,100,Sandy,,2.0,11.0,,,,,1.0,,,1.0,,1.0,,,,,25.0,5.0,13.0,2.0,11.0,,3.0,,1.0,104.0,,3.0,5.0,2.0,14.0,,8.0,,,,,,,,,2.0,78.0,,1.0,,4.0,,,,,,,,,2.0,2.0,,,14.0,,,5.0,,,493.0,,2.0,,,,1.0,4.0,,1.0,1.0,,,2.0,34.0,51.0,,4.0,,,2.0,,,,1.0,,1.0,,,,1.0,1.0,2.0,1.0,,,,,4.0,,,2.0,,,,,,,,1.0,58.0,2.0,1.0,,,,,,,,6.0,30.0,,,3.0,,3.0,,,,,,,,,,,,,,,,2.0,,4.0,,,1.0,25.0,,,,2.0,,11.0,
1344,Denmark,Skomagerkrogen,North-east Atlantic Ocean,100,Sandy,,,11.0,,,,,3.0,,1.0,,,,,,,,23.0,,2.0,2.0,4.0,11.0,6.0,1.0,1.0,91.0,,7.0,6.0,,10.0,,2.0,,2.0,,,,,,,,21.0,,,,,,,,,,,,,4.0,,1.0,,12.0,,,1.0,,,171.0,,9.0,,,,,4.0,,,1.0,,,,22.0,6.0,,2.0,,1.0,2.0,,,,1.0,,,,,,,,15.0,,,,,,,,,,,,,1.0,,,,,,,1.0,,,,,,,,3.0,72.0,1.0,,2.0,,2.0,,,,,,,,,,,,1.0,,,,4.0,,2.0,,,1.0,11.0,,,,1.0,,5.0,
1345,Denmark,Skomagerkrogen,North-east Atlantic Ocean,100,Sandy,,1.0,4.0,,3.0,,,,,1.0,,,,,,,1.0,21.0,1.0,6.0,1.0,4.0,,11.0,,1.0,44.0,,8.0,9.0,,5.0,,9.0,,,,,,,,,,37.0,,,,,,,,,,,,,3.0,,1.0,,13.0,,,8.0,,,180.0,1.0,4.0,3.0,,,,5.0,,2.0,,51.0,,,6.0,22.0,,,,2.0,,,,6.0,1.0,,1.0,,,1.0,2.0,,7.0,3.0,,,,,2.0,,,8.0,,,,,,1.0,,,29.0,,,,,,,,,,,35.0,4.0,,4.0,,4.0,1.0,,,,,,,,,,,,,,,2.0,,16.0,,,,3.0,,,,3.0,,8.0,
1346,Switzerland,vierwaldstättersee_weggis_schöberls_1,,23,,,0.0,0.0,,0.0,0.0,,0.0,,,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,,,,,,,0.0,0.0,0.0,,,,,,0.0,,,,,0.0,0.0,0.0,,,0.0,0.0,,,,,2.0,0.0,0.0,0.0,,,,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,,0.0,0.0,0.0,,1.0,0.0,0.0,,0.0,,,0.0,,0.0,0.0,0.0,0.0,,,,1.0,,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,,0.0,,,,0.0,,,0.0,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,,,3.0,0.0,0.0,0.0
1347,Switzerland,vierwaldstättersee_weggis_schöberls_1,,23,,,0.0,0.0,,0.0,0.0,,0.0,,,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,,,,,,,0.0,0.0,0.0,,,,,,0.0,,,,,0.0,0.0,0.0,,,0.0,0.0,,,,,3.0,0.0,2.0,0.0,,,,0.0,,0.0,0.0,0.0,,1.0,0.0,0.0,,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,,,0.0,,0.0,0.0,0.0,0.0,,,,0.0,,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,,0.0,,,,0.0,,,0.0,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,,,0.0,0.0,0.0,0.0
