2017,2018,2019,2020,2021
14069.0,14750.0,16346.0,16575.0,17849.0
31627.0,33149.0,36164.0,38027.0,37386.0
36114.0,37769.0,39863.0,40715.0,40264.0
1416321.0,1572329.0,1695243.0,1703846.0,1631062.0
434.0,377.0,439.0,441.0,455.0
477.0,610.0,702.0,698.0,648.0
793.0,832.0,868.0,890.0,910.0
2739.0,2366.0,2865.0,3200.0,3406.0
1267.0,1971.0,1825.0,1972.0,1777.0
19921.0,20007.0,20769.0,22549.0,21446.0
26.0,27.0,29.0,24.0,23.0
1554.0,1555.0,1591.0,1538.0,1639.0
426.0,456.0,466.0,488.0,477.0
753.0,719.0,809.0,784.0,788.0
1163.0,1174.0,1255.0,1283.0,1332.0
3735.0,3931.0,4099.0,4199.0,4377.0
16530.0,18402.0,19569.0,20062.0,22147.0
20.0,22.0,23.0,21.0,22.0
21909.0,22893.0,23826.0,24562.0,24860.0
23945.0,24806.0,27939.0,28514.0,30405.0
2064.0,2136.0,2371.0,2151.0,2296.0
22487.0,24281.0,30352.0,31931.0,31862.0
5137.0,4962.0,5708.0,5827.0,6288.0
37725.0,39160.0,41648.0,40800.0,45035.0
10176.0,10679.0,11308.0,11249.0,11847.0
10450.0,11657.0,11589.0,10135.0,11041.0
533.0,471.0,514.0,587.0,546.0
3010.0,2792.0,3019.0,3197.0,3339.0
288247.0,326310.0,338682.0,345754.0,349148.0
5179.0,5810.0,6238.0,6094.0,6093.0
29260.0,30301.0,31773.0,32647.0,33189.0
229.0,236.0,246.0,251.0,232.0
31615.0,32188.0,35244.0,33384.0,35383.0
90765.0,87293.0,89175.0,99877.0,96337.0
336150.0,377678.0,354437.0,404409.0,392369.0
20963.0,27860.0,25859.0,28229.0,26622.0
2450.0,2599.0,2659.0,2744.0,2798.0
6695.0,6359.0,6242.0,6821.0,6500.0
115062.0,115288.0,114736.0,111054.0,120901.0
15630.0,16437.0,16909.0,17131.0,17744.0
77417.0,86096.0,94544.0,110834.0,120598.0
868.0,841.0,997.0,975.0,931.0
209928.0,224320.0,231129.0,227809.0,240071.0
421669.0,449326.0,484452.0,493432.0,499309.0
30194.0,34205.0,35625.0,36032.0,36954.0
