""
"Indicator name: Beach litter originating from national land-based sources ends in the beach (tonnes)  Data Source: Florida State University(https://FSU.edu), Center for Ocean-Atmospheric Prediction Studies (COAPS)(https://www.coaps.fsu.edu/our-expertise/global-model-for-marine-litter)"
"Description: The indicator includes 14.1.1a Index of coastal eutrophication (ICEP) and 14.1.1b Plastic debris density. SDG 14.1.1a and SDG 14.1.1b will described as two indicators. Across the 14.1.1a and 14.1.1b, two levels are proposed: "
"INDICATOR NAME (unit)","COUNTRY NAME","YEAR","VALUE"
"Beach litter originating from national land-based sources ends in the beach (tonnes) (tonnes)","Bahamas","2018","193.00"
"Beach litter originating from national land-based sources ends in the beach (tonnes) (tonnes)","Bahamas","2019","179.00"
"Beach litter originating from national land-based sources ends in the beach (tonnes) (tonnes)","Bahamas","2020","159.00"
"Beach litter originating from national land-based sources ends in the beach (tonnes) (tonnes)","Bahamas","2021","149.00"
"Beach litter originating from national land-based sources ends in the beach (tonnes) (tonnes)","Bahrain","2017","189.00"
"Beach litter originating from national land-based sources ends in the beach (tonnes) (tonnes)","Bahrain","2018","197.00"
"Beach litter originating from national land-based sources ends in the beach (tonnes) (tonnes)","Bahrain","2019","204.00"
"Beach litter originating from national land-based sources ends in the beach (tonnes) (tonnes)","Bahrain","2020","213.00"
"Beach litter originating from national land-based sources ends in the beach (tonnes) (tonnes)","Bahrain","2021","212.00"
"Beach litter originating from national land-based sources ends in the beach (tonnes) (tonnes)","Bangladesh","2017","289594.00"
"Beach litter originating from national land-based sources ends in the beach (tonnes) (tonnes)","Bangladesh","2018","297832.00"
"Beach litter originating from national land-based sources ends in the beach (tonnes) (tonnes)","Bangladesh","2019","315751.00"
"Beach litter originating from national land-based sources ends in the beach (tonnes) (tonnes)","Bangladesh","2020","328407.00"
"Beach litter originating from national land-based sources ends in the beach (tonnes) (tonnes)","Bangladesh","2021","355502.00"
"Beach litter originating from national land-based sources ends in the beach (tonnes) (tonnes)","Barbados","2017","308.00"
"Beach litter originating from national land-based sources ends in the beach (tonnes) (tonnes)","Barbados","2018","303.00"
"Beach litter originating from national land-based sources ends in the beach (tonnes) (tonnes)","Barbados","2019","302.00"
"Beach litter originating from national land-based sources ends in the beach (tonnes) (tonnes)","Barbados","2020","297.00"
"Beach litter originating from national land-based sources ends in the beach (tonnes) (tonnes)","Barbados","2021","302.00"
"Beach litter originating from national land-based sources ends in the beach (tonnes) (tonnes)","Belgium","2017","24.00"
"Beach litter originating from national land-based sources ends in the beach (tonnes) (tonnes)","Belgium","2018","19.00"
"Beach litter originating from national land-based sources ends in the beach (tonnes) (tonnes)","Belgium","2019","16.00"
"Beach litter originating from national land-based sources ends in the beach (tonnes) (tonnes)","Belgium","2020","23.00"
"Beach litter originating from national land-based sources ends in the beach (tonnes) (tonnes)","Belgium","2021","22.00"
"Beach litter originating from national land-based sources ends in the beach (tonnes) (tonnes)","Belize","2017","14421.00"
"Beach litter originating from national land-based sources ends in the beach (tonnes) (tonnes)","Belize","2018","14955.00"
"Beach litter originating from national land-based sources ends in the beach (tonnes) (tonnes)","Belize","2019","15383.00"
"Beach litter originating from national land-based sources ends in the beach (tonnes) (tonnes)","Belize","2020","16134.00"
"Beach litter originating from national land-based sources ends in the beach (tonnes) (tonnes)","Belize","2021","16390.00"
"Beach litter originating from national land-based sources ends in the beach (tonnes) (tonnes)","Benin","2017","29451.00"
"Beach litter originating from national land-based sources ends in the beach (tonnes) (tonnes)","Benin","2018","30816.00"
"Beach litter originating from national land-based sources ends in the beach (tonnes) (tonnes)","Benin","2019","32298.00"
"Beach litter originating from national land-based sources ends in the beach (tonnes) (tonnes)","Benin","2020","32843.00"
"Beach litter originating from national land-based sources ends in the beach (tonnes) (tonnes)","Benin","2021","33554.00"
"Beach litter originating from national land-based sources ends in the beach (tonnes) (tonnes)","Brazil","2017","583089.00"
"Beach litter originating from national land-based sources ends in the beach (tonnes) (tonnes)","Brazil","2018","602121.00"
"Beach litter originating from national land-based sources ends in the beach (tonnes) (tonnes)","Brazil","2019","639659.00"
"Beach litter originating from national land-based sources ends in the beach (tonnes) (tonnes)","Brazil","2020","638401.00"
"Beach litter originating from national land-based sources ends in the beach (tonnes) (tonnes)","Brazil","2021","634888.00"
"Beach litter originating from national land-based sources ends in the beach (tonnes) (tonnes)","Brunei Darussalam","2017","650.00"
"Beach litter originating from national land-based sources ends in the beach (tonnes) (tonnes)","Brunei Darussalam","2018","746.00"
"Beach litter originating from national land-based sources ends in the beach (tonnes) (tonnes)","Brunei Darussalam","2019","797.00"
"Beach litter originating from national land-based sources ends in the beach (tonnes) (tonnes)","Brunei Darussalam","2020","714.00"
"Beach litter originating from national land-based sources ends in the beach (tonnes) (tonnes)","Brunei Darussalam","2021","733.00"
"Beach litter originating from national land-based sources ends in the beach (tonnes) (tonnes)","Bulgaria","2017","90.00"
"Beach litter originating from national land-based sources ends in the beach (tonnes) (tonnes)","Bulgaria","2018","139.00"
"Beach litter originating from national land-based sources ends in the beach (tonnes) (tonnes)","Bulgaria","2019","121.00"
"Beach litter originating from national land-based sources ends in the beach (tonnes) (tonnes)","Bulgaria","2020","148.00"
"Beach litter originating from national land-based sources ends in the beach (tonnes) (tonnes)","Bulgaria","2021","120.00"
"Beach litter originating from national land-based sources ends in the beach (tonnes) (tonnes)","Cabo Verde","2017","821.00"
"Beach litter originating from national land-based sources ends in the beach (tonnes) (tonnes)","Cabo Verde","2018","892.00"
"Beach litter originating from national land-based sources ends in the beach (tonnes) (tonnes)","Cabo Verde","2019","975.00"
"Beach litter originating from national land-based sources ends in the beach (tonnes) (tonnes)","Cabo Verde","2020","963.00"
"Beach litter originating from national land-based sources ends in the beach (tonnes) (tonnes)","Cabo Verde","2021","996.00"
"Beach litter originating from national land-based sources ends in the beach (tonnes) (tonnes)","Cambodia","2017","1875.00"
"Beach litter originating from national land-based sources ends in the beach (tonnes) (tonnes)","Cambodia","2018","2149.00"
"Beach litter originating from national land-based sources ends in the beach (tonnes) (tonnes)","Cambodia","2019","2212.00"
"Beach litter originating from national land-based sources ends in the beach (tonnes) (tonnes)","Cambodia","2020","2342.00"
"Beach litter originating from national land-based sources ends in the beach (tonnes) (tonnes)","Cambodia","2021","2240.00"
"Beach litter originating from national land-based sources ends in the beach (tonnes) (tonnes)","Cameroon","2017","62408.00"
"Beach litter originating from national land-based sources ends in the beach (tonnes) (tonnes)","Cameroon","2018","65253.00"
"Beach litter originating from national land-based sources ends in the beach (tonnes) (tonnes)","Cameroon","2019","67708.00"
"Beach litter originating from national land-based sources ends in the beach (tonnes) (tonnes)","Cameroon","2020","69544.00"
"Beach litter originating from national land-based sources ends in the beach (tonnes) (tonnes)","Cameroon","2021","70773.00"
"Beach litter originating from national land-based sources ends in the beach (tonnes) (tonnes)","Canada","2017","367.00"
"Beach litter originating from national land-based sources ends in the beach (tonnes) (tonnes)","Canada","2018","431.00"
"Beach litter originating from national land-based sources ends in the beach (tonnes) (tonnes)","Canada","2019","421.00"
"Beach litter originating from national land-based sources ends in the beach (tonnes) (tonnes)","Canada","2020","398.00"
"Beach litter originating from national land-based sources ends in the beach (tonnes) (tonnes)","Canada","2021","449.00"
"Beach litter originating from national land-based sources ends in the beach (tonnes) (tonnes)","Chile","2017","1212.00"
"Beach litter originating from national land-based sources ends in the beach (tonnes) (tonnes)","Chile","2018","1277.00"
"Beach litter originating from national land-based sources ends in the beach (tonnes) (tonnes)","Chile","2019","1447.00"
"Beach litter originating from national land-based sources ends in the beach (tonnes) (tonnes)","Chile","2020","1669.00"
"Beach litter originating from national land-based sources ends in the beach (tonnes) (tonnes)","Chile","2021","1950.00"
"Beach litter originating from national land-based sources ends in the beach (tonnes) (tonnes)","China","2017","2290405.00"
"Beach litter originating from national land-based sources ends in the beach (tonnes) (tonnes)","China","2018","2498228.00"
"Beach litter originating from national land-based sources ends in the beach (tonnes) (tonnes)","China","2019","2683611.00"
"Beach litter originating from national land-based sources ends in the beach (tonnes) (tonnes)","China","2020","2777198.00"
"Beach litter originating from national land-based sources ends in the beach (tonnes) (tonnes)","China","2021","2622299.00"
"Beach litter originating from national land-based sources ends in the beach (tonnes) (tonnes)","Colombia","2017","41534.00"
"Beach litter originating from national land-based sources ends in the beach (tonnes) (tonnes)","Colombia","2018","45388.00"
"Beach litter originating from national land-based sources ends in the beach (tonnes) (tonnes)","Colombia","2019","47505.00"
"Beach litter originating from national land-based sources ends in the beach (tonnes) (tonnes)","Colombia","2020","45131.00"
"Beach litter originating from national land-based sources ends in the beach (tonnes) (tonnes)","Colombia","2021","47917.00"
"Beach litter originating from national land-based sources ends in the beach (tonnes) (tonnes)","Comoros","2017","23664.00"
"Beach litter originating from national land-based sources ends in the beach (tonnes) (tonnes)","Comoros","2018","23771.00"
"Beach litter originating from national land-based sources ends in the beach (tonnes) (tonnes)","Comoros","2019","24690.00"
"Beach litter originating from national land-based sources ends in the beach (tonnes) (tonnes)","Comoros","2020","24046.00"
"Beach litter originating from national land-based sources ends in the beach (tonnes) (tonnes)","Comoros","2021","25582.00"
"Beach litter originating from national land-based sources ends in the beach (tonnes) (tonnes)","Congo","2017","8585.00"
"Beach litter originating from national land-based sources ends in the beach (tonnes) (tonnes)","Congo","2018","9074.00"
"Beach litter originating from national land-based sources ends in the beach (tonnes) (tonnes)","Congo","2019","9476.00"
"Beach litter originating from national land-based sources ends in the beach (tonnes) (tonnes)","Congo","2020","9595.00"
"Beach litter originating from national land-based sources ends in the beach (tonnes) (tonnes)","Congo","2021","9851.00"
"Beach litter originating from national land-based sources ends in the beach (tonnes) (tonnes)","Costa Rica","2017","3992.00"
"Beach litter originating from national land-based sources ends in the beach (tonnes) (tonnes)","Costa Rica","2018","4343.00"
"Beach litter originating from national land-based sources ends in the beach (tonnes) (tonnes)","Costa Rica","2019","4384.00"
"Beach litter originating from national land-based sources ends in the beach (tonnes) (tonnes)","Costa Rica","2020","4420.00"
"Beach litter originating from national land-based sources ends in the beach (tonnes) (tonnes)","Costa Rica","2021","4719.00"
"Beach litter originating from national land-based sources ends in the beach (tonnes) (tonnes)","Cote d'Ivoire","2017","53881.00"
"Beach litter originating from national land-based sources ends in the beach (tonnes) (tonnes)","Cote d'Ivoire","2018","55603.00"
"Beach litter originating from national land-based sources ends in the beach (tonnes) (tonnes)","Cote d'Ivoire","2019","57394.00"
"Beach litter originating from national land-based sources ends in the beach (tonnes) (tonnes)","Cote d'Ivoire","2020","58930.00"
"Beach litter originating from national land-based sources ends in the beach (tonnes) (tonnes)","Cote d'Ivoire","2021","60457.00"
"Beach litter originating from national land-based sources ends in the beach (tonnes) (tonnes)","Croatia","2017","3437.00"
"Beach litter originating from national land-based sources ends in the beach (tonnes) (tonnes)","Croatia","2018","3976.00"
"Beach litter originating from national land-based sources ends in the beach (tonnes) (tonnes)","Croatia","2019","3963.00"
"Beach litter originating from national land-based sources ends in the beach (tonnes) (tonnes)","Croatia","2020","4153.00"
"Beach litter originating from national land-based sources ends in the beach (tonnes) (tonnes)","Croatia","2021","4007.00"
"Beach litter originating from national land-based sources ends in the beach (tonnes) (tonnes)","Cyprus","2017","128.00"
"Beach litter originating from national land-based sources ends in the beach (tonnes) (tonnes)","Cyprus","2018","128.00"
"Beach litter originating from national land-based sources ends in the beach (tonnes) (tonnes)","Cyprus","2019","123.00"
"Beach litter originating from national land-based sources ends in the beach (tonnes) (tonnes)","Cyprus","2020","142.00"
"Beach litter originating from national land-based sources ends in the beach (tonnes) (tonnes)","Cyprus","2021","143.00"
"Beach litter originating from national land-based sources ends in the beach (tonnes) (tonnes)","Democratic People's Republic of Korea","2017","8780.00"
"Beach litter originating from national land-based sources ends in the beach (tonnes) (tonnes)","Democratic People's Republic of Korea","2018","7865.00"
"Beach litter originating from national land-based sources ends in the beach (tonnes) (tonnes)","Democratic People's Republic of Korea","2019","8873.00"
"Beach litter originating from national land-based sources ends in the beach (tonnes) (tonnes)","Democratic People's Republic of Korea","2020","9765.00"
"Beach litter originating from national land-based sources ends in the beach (tonnes) (tonnes)","Democratic People's Republic of Korea","2021","9741.00"
"Beach litter originating from national land-based sources ends in the beach (tonnes) (tonnes)","Democratic Republic of the Congo","2017","138.00"
"Beach litter originating from national land-based sources ends in the beach (tonnes) (tonnes)","Democratic Republic of the Congo","2018","142.00"
"Beach litter originating from national land-based sources ends in the beach (tonnes) (tonnes)","Democratic Republic of the Congo","2019","149.00"
"Beach litter originating from national land-based sources ends in the beach (tonnes) (tonnes)","Democratic Republic of the Congo","2020","154.00"
"Beach litter originating from national land-based sources ends in the beach (tonnes) (tonnes)","Democratic Republic of the Congo","2021","161.00"
"Beach litter originating from national land-based sources ends in the beach (tonnes) (tonnes)","Denmark","2017","141.00"
"Beach litter originating from national land-based sources ends in the beach (tonnes) (tonnes)","Denmark","2018","121.00"
"Beach litter originating from national land-based sources ends in the beach (tonnes) (tonnes)","Denmark","2019","125.00"
"Beach litter originating from national land-based sources ends in the beach (tonnes) (tonnes)","Denmark","2020","144.00"
"Beach litter originating from national land-based sources ends in the beach (tonnes) (tonnes)","Denmark","2021","140.00"
"Beach litter originating from national land-based sources ends in the beach (tonnes) (tonnes)","Djibouti","2017","2827.00"
"Beach litter originating from national land-based sources ends in the beach (tonnes) (tonnes)","Djibouti","2018","3101.00"
"Beach litter originating from national land-based sources ends in the beach (tonnes) (tonnes)","Djibouti","2019","3401.00"
"Beach litter originating from national land-based sources ends in the beach (tonnes) (tonnes)","Djibouti","2020","3079.00"
"Beach litter originating from national land-based sources ends in the beach (tonnes) (tonnes)","Djibouti","2021","3352.00"
"Beach litter originating from national land-based sources ends in the beach (tonnes) (tonnes)","Dominica","2017","338.00"
"Beach litter originating from national land-based sources ends in the beach (tonnes) (tonnes)","Dominica","2018","370.00"
"Beach litter originating from national land-based sources ends in the beach (tonnes) (tonnes)","Dominica","2019","408.00"
"Beach litter originating from national land-based sources ends in the beach (tonnes) (tonnes)","Dominica","2020","377.00"
"Beach litter originating from national land-based sources ends in the beach (tonnes) (tonnes)","Dominica","2021","382.00"
"Beach litter originating from national land-based sources ends in the beach (tonnes) (tonnes)","Dominican Republic","2017","75791.00"
"Beach litter originating from national land-based sources ends in the beach (tonnes) (tonnes)","Dominican Republic","2018","79838.00"
"Beach litter originating from national land-based sources ends in the beach (tonnes) (tonnes)","Dominican Republic","2019","83120.00"
"Beach litter originating from national land-based sources ends in the beach (tonnes) (tonnes)","Dominican Republic","2020","76807.00"
"Beach litter originating from national land-based sources ends in the beach (tonnes) (tonnes)","Dominican Republic","2021","77384.00"
"Beach litter originating from national land-based sources ends in the beach (tonnes) (tonnes)","Ecuador","2017","27519.00"
"Beach litter originating from national land-based sources ends in the beach (tonnes) (tonnes)","Ecuador","2018","28725.00"
"Beach litter originating from national land-based sources ends in the beach (tonnes) (tonnes)","Ecuador","2019","29678.00"
"Beach litter originating from national land-based sources ends in the beach (tonnes) (tonnes)","Ecuador","2020","30727.00"
"Beach litter originating from national land-based sources ends in the beach (tonnes) (tonnes)","Ecuador","2021","31530.00"
"Beach litter originating from national land-based sources ends in the beach (tonnes) (tonnes)","Egypt","2017","222297.00"
"Beach litter originating from national land-based sources ends in the beach (tonnes) (tonnes)","Egypt","2018","209725.00"
"Beach litter originating from national land-based sources ends in the beach (tonnes) (tonnes)","Egypt","2019","208319.00"
"Beach litter originating from national land-based sources ends in the beach (tonnes) (tonnes)","Egypt","2020","226065.00"
"Beach litter originating from national land-based sources ends in the beach (tonnes) (tonnes)","Egypt","2021","231991.00"
"Beach litter originating from national land-based sources ends in the beach (tonnes) (tonnes)","El Salvador","2017","7532.00"
"Beach litter originating from national land-based sources ends in the beach (tonnes) (tonnes)","El Salvador","2018","7382.00"
"Beach litter originating from national land-based sources ends in the beach (tonnes) (tonnes)","El Salvador","2019","7504.00"
"Beach litter originating from national land-based sources ends in the beach (tonnes) (tonnes)","El Salvador","2020","9136.00"
"Beach litter originating from national land-based sources ends in the beach (tonnes) (tonnes)","El Salvador","2021","9761.00"
"Beach litter originating from national land-based sources ends in the beach (tonnes) (tonnes)","Equatorial Guinea","2017","4904.00"
"Beach litter originating from national land-based sources ends in the beach (tonnes) (tonnes)","Equatorial Guinea","2018","5130.00"
"Beach litter originating from national land-based sources ends in the beach (tonnes) (tonnes)","Equatorial Guinea","2019","5328.00"
"Beach litter originating from national land-based sources ends in the beach (tonnes) (tonnes)","Equatorial Guinea","2020","5464.00"
"Beach litter originating from national land-based sources ends in the beach (tonnes) (tonnes)","Equatorial Guinea","2021","5477.00"
"Beach litter originating from national land-based sources ends in the beach (tonnes) (tonnes)","Eritrea","2017","4850.00"
"Beach litter originating from national land-based sources ends in the beach (tonnes) (tonnes)","Eritrea","2018","4917.00"
"Beach litter originating from national land-based sources ends in the beach (tonnes) (tonnes)","Eritrea","2019","5677.00"
"Beach litter originating from national land-based sources ends in the beach (tonnes) (tonnes)","Eritrea","2020","5231.00"
"Beach litter originating from national land-based sources ends in the beach (tonnes) (tonnes)","Eritrea","2021","5918.00"
"Beach litter originating from national land-based sources ends in the beach (tonnes) (tonnes)","Estonia","2017","127.00"
"Beach litter originating from national land-based sources ends in the beach (tonnes) (tonnes)","Estonia","2018","133.00"
"Beach litter originating from national land-based sources ends in the beach (tonnes) (tonnes)","Estonia","2019","125.00"
"Beach litter originating from national land-based sources ends in the beach (tonnes) (tonnes)","Estonia","2020","147.00"
"Beach litter originating from national land-based sources ends in the beach (tonnes) (tonnes)","Estonia","2021","126.00"
"Beach litter originating from national land-based sources ends in the beach (tonnes) (tonnes)","Fiji","2017","2060.00"
"Beach litter originating from national land-based sources ends in the beach (tonnes) (tonnes)","Fiji","2018","1987.00"
"Beach litter originating from national land-based sources ends in the beach (tonnes) (tonnes)","Fiji","2019","2340.00"
"Beach litter originating from national land-based sources ends in the beach (tonnes) (tonnes)","Fiji","2020","2391.00"
"Beach litter originating from national land-based sources ends in the beach (tonnes) (tonnes)","Fiji","2021","2253.00"
"Beach litter originating from national land-based sources ends in the beach (tonnes) (tonnes)","Finland","2017","380.00"
"Beach litter originating from national land-based sources ends in the beach (tonnes) (tonnes)","Finland","2018","383.00"
"Beach litter originating from national land-based sources ends in the beach (tonnes) (tonnes)","Finland","2019","397.00"
"Beach litter originating from national land-based sources ends in the beach (tonnes) (tonnes)","Finland","2020","436.00"
"Beach litter originating from national land-based sources ends in the beach (tonnes) (tonnes)","Finland","2021","374.00"
"Beach litter originating from national land-based sources ends in the beach (tonnes) (tonnes)","France","2017","1136.00"
"Beach litter originating from national land-based sources ends in the beach (tonnes) (tonnes)","France","2018","1104.00"
"Beach litter originating from national land-based sources ends in the beach (tonnes) (tonnes)","France","2019","1105.00"
"Beach litter originating from national land-based sources ends in the beach (tonnes) (tonnes)","France","2020","1257.00"
"Beach litter originating from national land-based sources ends in the beach (tonnes) (tonnes)","France","2021","1257.00"
"Beach litter originating from national land-based sources ends in the beach (tonnes) (tonnes)","Gabon","2017","2025.00"
"Beach litter originating from national land-based sources ends in the beach (tonnes) (tonnes)","Gabon","2018","2123.00"
"Beach litter originating from national land-based sources ends in the beach (tonnes) (tonnes)","Gabon","2019","2199.00"
"Beach litter originating from national land-based sources ends in the beach (tonnes) (tonnes)","Gabon","2020","2256.00"
"Beach litter originating from national land-based sources ends in the beach (tonnes) (tonnes)","Gabon","2021","2305.00"
"Beach litter originating from national land-based sources ends in the beach (tonnes) (tonnes)","Gambia","2017","10135.00"
"Beach litter originating from national land-based sources ends in the beach (tonnes) (tonnes)","Gambia","2018","11411.00"
"Beach litter originating from national land-based sources ends in the beach (tonnes) (tonnes)","Gambia","2019","12178.00"
"Beach litter originating from national land-based sources ends in the beach (tonnes) (tonnes)","Gambia","2020","12875.00"
"Beach litter originating from national land-based sources ends in the beach (tonnes) (tonnes)","Gambia","2021","13960.00"
"Beach litter originating from national land-based sources ends in the beach (tonnes) (tonnes)","Georgia","2017","315.00"
"Beach litter originating from national land-based sources ends in the beach (tonnes) (tonnes)","Georgia","2018","423.00"
"Beach litter originating from national land-based sources ends in the beach (tonnes) (tonnes)","Georgia","2019","424.00"
"Beach litter originating from national land-based sources ends in the beach (tonnes) (tonnes)","Georgia","2020","464.00"
"Beach litter originating from national land-based sources ends in the beach (tonnes) (tonnes)","Georgia","2021","439.00"
"Beach litter originating from national land-based sources ends in the beach (tonnes) (tonnes)","Germany","2017","1928.00"
"Beach litter originating from national land-based sources ends in the beach (tonnes) (tonnes)","Germany","2018","1696.00"
"Beach litter originating from national land-based sources ends in the beach (tonnes) (tonnes)","Germany","2019","1899.00"
"Beach litter originating from national land-based sources ends in the beach (tonnes) (tonnes)","Germany","2020","2071.00"
"Beach litter originating from national land-based sources ends in the beach (tonnes) (tonnes)","Germany","2021","2082.00"
"Beach litter originating from national land-based sources ends in the beach (tonnes) (tonnes)","Ghana","2017","98997.00"
"Beach litter originating from national land-based sources ends in the beach (tonnes) (tonnes)","Ghana","2018","103099.00"
"Beach litter originating from national land-based sources ends in the beach (tonnes) (tonnes)","Ghana","2019","107906.00"
"Beach litter originating from national land-based sources ends in the beach (tonnes) (tonnes)","Ghana","2020","109255.00"
"Beach litter originating from national land-based sources ends in the beach (tonnes) (tonnes)","Ghana","2021","114306.00"
"Beach litter originating from national land-based sources ends in the beach (tonnes) (tonnes)","Greece","2017","26962.00"
"Beach litter originating from national land-based sources ends in the beach (tonnes) (tonnes)","Greece","2018","27021.00"
"Beach litter originating from national land-based sources ends in the beach (tonnes) (tonnes)","Greece","2019","25983.00"
"Beach litter originating from national land-based sources ends in the beach (tonnes) (tonnes)","Greece","2020","29143.00"
"Beach litter originating from national land-based sources ends in the beach (tonnes) (tonnes)","Greece","2021","29349.00"
"Beach litter originating from national land-based sources ends in the beach (tonnes) (tonnes)","Grenada","2017","533.00"
"Beach litter originating from national land-based sources ends in the beach (tonnes) (tonnes)","Grenada","2018","535.00"
"Beach litter originating from national land-based sources ends in the beach (tonnes) (tonnes)","Grenada","2019","553.00"
"Beach litter originating from national land-based sources ends in the beach (tonnes) (tonnes)","Grenada","2020","565.00"
"Beach litter originating from national land-based sources ends in the beach (tonnes) (tonnes)","Grenada","2021","595.00"
"Beach litter originating from national land-based sources ends in the beach (tonnes) (tonnes)","Guatemala","2017","21123.00"
"Beach litter originating from national land-based sources ends in the beach (tonnes) (tonnes)","Guatemala","2018","20626.00"
"Beach litter originating from national land-based sources ends in the beach (tonnes) (tonnes)","Guatemala","2019","19015.00"
"Beach litter originating from national land-based sources ends in the beach (tonnes) (tonnes)","Guatemala","2020","20833.00"
"Beach litter originating from national land-based sources ends in the beach (tonnes) (tonnes)","Guatemala","2021","22038.00"
"Beach litter originating from national land-based sources ends in the beach (tonnes) (tonnes)","Guinea","2017","23307.00"
"Beach litter originating from national land-based sources ends in the beach (tonnes) (tonnes)","Guinea","2018","24402.00"
"Beach litter originating from national land-based sources ends in the beach (tonnes) (tonnes)","Guinea","2019","25167.00"
"Beach litter originating from national land-based sources ends in the beach (tonnes) (tonnes)","Guinea","2020","26011.00"
"Beach litter originating from national land-based sources ends in the beach (tonnes) (tonnes)","Guinea","2021","26610.00"
"Beach litter originating from national land-based sources ends in the beach (tonnes) (tonnes)","Guinea-Bissau","2017","9397.00"
"Beach litter originating from national land-based sources ends in the beach (tonnes) (tonnes)","Guinea-Bissau","2018","10523.00"
"Beach litter originating from national land-based sources ends in the beach (tonnes) (tonnes)","Guinea-Bissau","2019","10819.00"
"Beach litter originating from national land-based sources ends in the beach (tonnes) (tonnes)","Guinea-Bissau","2020","11295.00"
"Beach litter originating from national land-based sources ends in the beach (tonnes) (tonnes)","Guinea-Bissau","2021","11830.00"
"Beach litter originating from national land-based sources ends in the beach (tonnes) (tonnes)","Guyana","2017","14021.00"
"Beach litter originating from national land-based sources ends in the beach (tonnes) (tonnes)","Guyana","2018","15418.00"
"Beach litter originating from national land-based sources ends in the beach (tonnes) (tonnes)","Guyana","2019","15235.00"
"Beach litter originating from national land-based sources ends in the beach (tonnes) (tonnes)","Guyana","2020","13978.00"
"Beach litter originating from national land-based sources ends in the beach (tonnes) (tonnes)","Guyana","2021","14887.00"
"Beach litter originating from national land-based sources ends in the beach (tonnes) (tonnes)","Haiti","2017","73756.00"
"Beach litter originating from national land-based sources ends in the beach (tonnes) (tonnes)","Haiti","2018","76940.00"
