BeachCountry,BeachName,BeachRegionalSea,BeachLength_m,BeachType,G1,G3,G4,G5,G7,G8,G9,G10,G11,G12,G13,G14,G15,G16,G17,G18,G19,G21,G22,G23,G24,G25,G26,G27,G28,G29,G30,G31,G32,G33,G34,G35,G36,G37,G40,G41,G42,G43,G44,G45,G46,G47,G49,G50,G52,G53,G54,G56,G57,G58,G59,G60,G62,G63,G64,G65,G66,G67,G68,G69,G70,G71,G72,G73,G76,G77,G79,G80,G82,G83,G84,G85,G86,G87,G88,G89,G90,G91,G92,G93,G95,G96,G97,G98,G99,G100
Denmark,"MSFD Pomlenakke, Falster",Baltic Sea,100,Other (mixed),,,,,1.0,2.0,,3.0,,,,,,,,,,,,1.0,,,,,,,,,,1.0,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,1.0,,2.0,,,,,,,,,,,,,,,,,
Italy,Localit? Rio Vivo a sud di Termoli,Mediterranean Sea,99,,4.0,8.0,8.0,8.0,4.0,4.0,2.0,4.0,2.0,2.0,,,,,1.0,,2.0,4.0,4.0,4.0,4.0,1.0,1.0,1.0,,1.0,4.0,4.0,,4.0,4.0,4.0,,,2.0,2.0,8.0,8.0,1.0,8.0,8.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,,,1.0,,,,1.0,1.0,1.0,,,,1.0,1.0,7.0,7.0,,1.0,1.0,1.0,1.0,1.0,,1.0,2.0,1.0,10.0,1.0,,1.0,1.0,2.0
Italy,"124 Via Giuseppe Mazzini, 16031 Bogliasco, Italie",Mediterranean Sea,79,,,50.0,20.0,,15.0,,,10.0,,,,,,,,,,90.0,,,,,,450.0,,,,,2.0,,1.0,,,,,,,,,,,,,30.0,,,,5.0,,,5.0,,,,,,,,,,10.0,2.0,,,,,50.0,,50.0,,,,,,,,,,,,,,,,,10.0
Spain,"Los Enebrales, Huelva",North-east Atlantic Ocean,100,Sandy,,3.0,,,3.0,,,4.0,,,,1.0,,,,,,47.0,,,,,,82.0,,,139.0,,,,,50.0,,,,,,,,,,1.0,,26.0,10.0,,,,,,5.0,,,,,,,4.0,,,,,,4.0,,,7.0,,,,,,,,,,,,,,,19.0,,,,
Italy,"Spiaggia di Tor Caldara, Anzio (RM)",Mediterranean Sea,100,,,1.0,2.0,,,38.0,8.0,4.0,,8.0,,,,4.0,,,,23.0,,,,,2.0,,,,19.0,,2.0,19.0,,,,,,,8.0,,,,,,4.0,8.0,,,,,4.0,,,,,,,,,2.0,,,,4.0,,,68.0,6.0,,,,,,,,,,,,,,,38.0,,,,,
,mavra volia,Mediterranean Sea,387,Pebbels,,21.0,22.0,,8.0,5.0,,,,,,,,,,,,27.0,,,,,,39.0,,,3.0,,,,,16.0,,,,,,,,13.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,2.0,,,,,
France,"12 Digue de Mer, 59240 Dunkerque, France",North-east Atlantic Ocean,150,,,100.0,,,50.0,50.0,,50.0,,,2.0,,,,,,,100.0,,,,,10.0,100.0,,,20.0,20.0,3.0,25.0,,,,,,,,,,,,,,20.0,,,,30.0,,,1.0,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,12.0
Italy,"144 Via Roma, 00055 Ladispoli, Italie",Mediterranean Sea,83,,,18.0,,,3.0,,,20.0,,,,,,,,,,481.0,,,,,,137.0,,,,,,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2703.0,,913.0,,,,,,,,,,,,,,,,,
,Long Beach Island ,North-east Atlantic Ocean,301,,,0.0,0.0,,0.0,0.0,,0.0,,,,,,,,,,0.0,,,,,,0.0,,,0.0,,,,0.0,0.0,,,,,,,,0.0,,,,0.0,,0.0,,,,,,,,,,,,,,,,,,0.0,0.0,,,,0.0,,,,,,,,,,,,0.0,,,,,
Italy,Lido Saraceni,Mediterranean Sea,99,,6.0,4.0,4.0,4.0,6.0,6.0,1.0,6.0,1.0,1.0,,,,,4.0,,,6.0,6.0,6.0,6.0,4.0,,76.0,,,6.0,6.0,5.0,6.0,6.0,6.0,,,,,,,4.0,,,4.0,,,,,,,,,,5.0,,,,,27.0,,,,4.0,,4.0,,,,4.0,4.0,4.0,4.0,5.0,4.0,4.0,4.0,4.0,4.0,,4.0,,27.0,3.0,,,,,
Italy,Vasto Localit? punta Aderci,Mediterranean Sea,99,,26.0,18.0,18.0,18.0,26.0,26.0,4.0,26.0,4.0,4.0,,,,1.0,15.0,1.0,,26.0,26.0,26.0,26.0,15.0,6.0,14.0,17.0,1.0,26.0,26.0,10.0,26.0,26.0,26.0,6.0,6.0,,,16.0,16.0,15.0,16.0,16.0,15.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,1.0,3.0,10.0,1.0,1.0,1.0,1.0,6.0,6.0,6.0,6.0,15.0,1.0,15.0,6.0,,,15.0,15.0,106.0,106.0,10.0,15.0,15.0,15.0,15.0,15.0,1.0,15.0,3.0,6.0,24.0,,8.0,,8.0,11.0
Romania,N?vodari,Black Sea,100,Sandy,,27.0,226.0,4.0,20.0,24.0,,4.0,1.0,3.0,1.0,,,,,,,275.0,57.0,14.0,19.0,26.0,12.0,330.0,3.0,,183.0,42.0,14.0,57.0,4.0,85.0,22.0,,,,,,,,,,52.0,143.0,3.0,4.0,6.0,8.0,,,,,1.0,,,1.0,11.0,10.0,22.0,,,,,10.0,35.0,1.0,141.0,,20.0,2.0,,,,6.0,,8.0,,,,3.0,28.0,,,2.0,3.0,1.0
Romania,N?vodari,Black Sea,100,Sandy,,,2.0,5.0,4.0,4.0,,,,,15.0,,,,,,,,,2.0,1.0,2.0,1.0,1.0,,,,,,,,2.0,1.0,,,,,,,,,,,9.0,,,,,,,,,,,,,,25.0,,,,,,3.0,,,20.0,,1.0,,,,,,,,,,,,,,,1.0,,
Romania,N?vodari,Black Sea,100,Sandy,,6.0,84.0,8.0,2.0,8.0,,16.0,,1.0,,,,1.0,,,,83.0,17.0,1.0,11.0,20.0,3.0,1793.0,,2.0,492.0,7.0,9.0,36.0,28.0,187.0,8.0,2.0,,1.0,,,,,,,,12.0,4.0,,,,,,,,1.0,,,,36.0,2.0,,,,,,36.0,,,89.0,,285.0,1.0,,,,3.0,,,,,,7.0,13.0,,,2.0,1.0,2.0
Romania,N?vodari,Black Sea,100,Sandy,,15.0,336.0,3.0,17.0,23.0,,30.0,11.0,,,,,,,,,294.0,23.0,38.0,16.0,32.0,12.0,574.0,2.0,4.0,459.0,20.0,17.0,144.0,11.0,122.0,14.0,13.0,,,,,,,,,53.0,92.0,7.0,,,1.0,,,,,1.0,,,1.0,6.0,1.0,,,,,,29.0,,,97.0,1.0,3.0,,,,,4.0,,,,,,,1.0,,,,1.0,1.0
Switzerland,Sihl_Adliswil_Oggi_Fort,,53,,,1.0,0.0,,0.0,0.0,,0.0,,,,,,,,,,1.0,,,,,,55.0,,,23.0,,,,0.0,0.0,,,,,,,,0.0,,,,13.0,,0.0,,,,,,,,,,,,,,,,,,0.0,5.0,,,,0.0,,,,,,,,,,,,2.0,,,,,
Switzerland,Sihl_Adliswil_Oggi_Fort,,53,,,0.0,0.0,,0.0,0.0,,0.0,,,,,,,,,,0.0,,,,,,85.0,,,23.0,,,,0.0,3.0,,,,,,,,0.0,,,,0.0,,0.0,,,,,,,,,,,,,,,,,,0.0,16.0,,,,0.0,,,,,,,,,,,,0.0,,,,,
Switzerland,Sihl_Adliswil_Oggi_Fort,,53,,,0.0,0.0,,0.0,0.0,,0.0,,,0.0,,,,,,,0.0,0.0,0.0,0.0,3.0,0.0,41.0,0.0,,1.0,0.0,0.0,1.0,0.0,0.0,,0.0,,,,,,,,,0.0,0.0,0.0,,,,,,0.0,,,,,0.0,0.0,0.0,,,0.0,0.0,,,,,0.0,0.0,0.0,0.0,,,,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,,0.0,0.0
Switzerland,Sihl_Adliswil_Oggi_Fort,,53,,,0.0,0.0,,0.0,0.0,,0.0,,,0.0,,,,,,,1.0,0.0,0.0,1.0,7.0,0.0,25.0,0.0,,2.0,0.0,0.0,0.0,0.0,2.0,,0.0,,,,,,,,,0.0,0.0,0.0,,,,,,0.0,,,,,0.0,0.0,0.0,,,0.0,0.0,,,,,0.0,0.0,0.0,0.0,,,,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,,0.0,0.0
Greece,Komi A,Mediterranean Sea,104,Sandy,1.0,3.0,2.0,1.0,7.0,,1.0,12.0,4.0,,,,,,,,,91.0,4.0,1.0,8.0,39.0,,1093.0,1.0,,20.0,19.0,10.0,5.0,2.0,131.0,,,,,,,,,,,,30.0,,,,,,,6.0,1.0,,,,,,16.0,,,,1.0,,6.0,,,169.0,8.0,5.0,,,,,,,,,,1.0,16.0,7.0,1.0,,3.0,,
Greece,Komi A,Mediterranean Sea,104,Sandy,,1.0,,,1.0,,,1.0,1.0,,,,,,,,,8.0,,3.0,,27.0,1.0,137.0,,,11.0,3.0,1.0,2.0,1.0,27.0,2.0,1.0,,,,,,,,,6.0,3.0,,,,,,,3.0,,,,,,1.0,1.0,,,,,,6.0,,,28.0,1.0,4.0,,,,,,,,,,,2.0,3.0,8.0,,,,1.0
Italy,Lido Sirene,Mediterranean Sea,309,Sandy,,120.0,80.0,,200.0,250.0,,300.0,,,,,,,,,,500.0,,,,,,200.0,,,50.0,,,,100.0,400.0,,,,,,,,300.0,,,,400.0,,180.0,,,,,,,,,,,,,,,,,,60.0,900.0,,,,900.0,,,,,,,,,,,,600.0,,,,,
Spain,La Llana,Mediterranean Sea,479,Sandy,,22.0,12.0,,,9.0,,21.0,5.0,,9.0,,,2.0,,,,175.0,,,,,,370.0,,,56.0,,1.0,,,39.0,,,,,,,,,,,,138.0,,23.0,,49.0,,,6.0,12.0,6.0,,,,4.0,14.0,,,,,,,209.0,,239.0,,133.0,,,,,,,9.0,,,,,37.0,6.0,,7.0,1.0,4.0
Spain,"Pla?a del Mar, Barcelona, Espagne",Mediterranean Sea,750,,,27.0,,,10.0,22.0,,3.0,,,,,,,,,,125.0,,,,,3.0,600.0,,,7.0,131.0,11.0,30.0,16.0,124.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,3.0,,,,,,,,,,,,,,,,,1.0
Spain,"Pla?a del Mar, Barcelona, Espagne",Mediterranean Sea,750,,,6.0,,,7.0,11.0,,4.0,,,3.0,,,,,,,114.0,,,,,2.0,790.0,,,7.0,80.0,10.0,25.0,26.0,65.0,,,,,,,,,,,,2.0,,,,,,,2.0,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,100.0,,,,,
Spain,"Pla?a del Mar, Barcelona, Espagne",Mediterranean Sea,750,,,25.0,,,10.0,8.0,,4.0,,,1.0,,,,,,,135.0,,,,,3.0,1300.0,,,70.0,20.0,5.0,35.0,44.0,186.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,400.0,,,,,,,,,,,,,,210.0,,,,,
Ireland,silver strand,North-east Atlantic Ocean,107,,,0.0,0.0,,1.0,0.0,,0.0,,,,,,,,,,0.0,,,,,,0.0,,,2.0,,,,0.0,0.0,3.0,,,,,,,1.0,,,3.0,47.0,,0.0,1.0,,,,,,,,,,3.0,,,,,,,0.0,1.0,,,,0.0,,,,,,,,,,,,0.0,,,,,
Spain,"Matalascañas, Huelva",North-east Atlantic Ocean,100,Sandy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Greece,SEF,Mediterranean Sea,147,Pebbels,,75.0,,,150.0,47.0,12.0,,13.0,,3.0,,,,,,,974.0,,,,38.0,100.0,287.0,,,68.0,,76.0,117.0,,699.0,,,,,,,,,,,,28.0,,38.0,,,,28.0,7.0,,,,,1.0,,,,,,,,,,,439.0,,750.0,,,,,,,10.0,,,,,,20.0,,11.0,10.0,
Greece,SEF,Mediterranean Sea,147,Pebbels,,8.0,,,12.0,5.0,,,,,,,,,,,,12.0,,,,,,23.0,,,3.0,,,,,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,
Greece,SEF,Mediterranean Sea,147,Pebbels,,320.0,75.0,,350.0,450.0,,80.0,,,,,,,,,,320.0,,,,,,243.0,,,123.0,,,,62.0,400.0,,,,,,,,50.0,,,,100.0,,65.0,,,,,,,,,,,,,,,,,,78.0,423.0,,,,120.0,,,,,,,,,,,,25.0,,,,,
Spain,Bajo de guia 10-05-14,North-east Atlantic Ocean,688,Sandy,,22.0,,,12.0,10.0,,2.0,,,,,,,,,,68.0,,,54.0,8.0,,348.0,,,46.0,646.0,2.0,12.0,2.0,104.0,,,,,,,,,,,10.0,28.0,,,,,,,,,,,,,,,,,,,,,,,,1156.0,,,,,,,,,,,,2.0,2.0,,,,,
Italy,San Cataldo  Est della Foce del torrente Pinto Trappeto (PA),Mediterranean Sea,100,,1.0,5.0,2.0,,3.0,53.0,37.0,8.0,5.0,7.0,2.0,5.0,,,2.0,7.0,1.0,25.0,7.0,8.0,15.0,,2.0,5.0,3.0,2.0,7.0,2.0,7.0,2.0,3.0,4.0,1.0,1.0,,,,,,1.0,,,5.0,,,2.0,1.0,1.0,,,2.0,1.0,,,,5.0,1.0,,,,,3.0,,8.0,,,25.0,8.0,12.0,2.0,,,,,,,1.0,,3.0,,7.0,3.0,,,,2.0
Denmark,Kronborgstranden,North-east Atlantic Ocean,148,,,2.0,6.0,,7.0,1.0,,9.0,,,,,,,,,,20.0,,,,,,107.0,,,13.0,,,,2.0,2.0,,,,,,,,0.0,,,2.0,2.0,,3.0,4.0,,,,,,,,,,,,,,,,,0.0,32.0,,,,1.0,,,,,,,,,,,,0.0,,,,,
Italy,Finale Ligure harbour beach,Mediterranean Sea,98,,,40.0,,,36.0,51.0,,34.0,,,,,,,,,,42.0,,,,,17.0,146.0,,,47.0,21.0,15.0,26.0,18.0,17.0,,,,,,,,,,,,31.0,,,,7.0,,,3.0,,,,,,,,,,2.0,13.0,,,30.0,,140.0,,,,,,,,,,,,,,8.0,,,,,14.0
Italy,Agnone C.to Montecorice (SA),Mediterranean Sea,100,,,,,,2.0,,,,,,,,,,,,,4.0,1.0,,,,1.0,89.0,,,3.0,,1.0,3.0,,,,,,,,,,,,,,,,,,2.0,,,1.0,,,,,,,,,,,,,,,,22.0,,26.0,,,,,,,2.0,,,,1.0,,,,,,4.0
France,"Feu Aval de la Digue du Port, Quai de l'Infante, 64500 Saint-Jean-de-Luz, France",North-east Atlantic Ocean,350,,,25.0,,,2.0,13.0,,,,,,,,,,,,10.0,,,,,2.0,70.0,,,10.0,2.0,,5.0,,2.0,,,,,,,,,7.0,,,40.0,,,,10.0,,,20.0,,,,,,,,,,,,,,,,10.0,,4.0,,,,,,,,,,,,,,,,,5.0
Denmark,Stevns 18,Baltic Sea,100,Pebbels,,,,,,,,,,,,,,,,,,,,12.0,,,1.0,4.0,,,,,,,,,,,1.0,,,,,,,,3.0,6.0,,,,,,,,,,,,,,,,,9.0,,,13.0,20.0,,,,,,,,,,,,,,,16.0,,,,,,
,"2557 Quai de Versailles, 44000 Nantes, France",Unknown,6000,,,30.0,,,30.0,10.0,,100.0,,,1.0,,,,,,,22.0,,,,,2.0,405.0,,,89.0,5.0,,32.0,10.0,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,,12.0,,,,,,,,,,,,,,,,,4.0
Turkey,Sarpi-2016,Black Sea,50,Pebbels,,14.0,,,1.0,,,9.0,,5.0,,,,,,,,113.0,,,8.0,,17.0,30.0,3.0,,120.0,4.0,4.0,1.0,,,,,,,,,,,,,,12.0,,,,,,,,,,,,,,,,,9.0,,,20.0,72.0,,,,,,,,,5.0,5.0,,,,,,,,,,3.0,11.0
Italy,Vascello d'oro Comacchio (FE),Mediterranean Sea,100,,,6.0,1.0,,4.0,,2.0,1.0,,1.0,,,,,,,,13.0,2.0,1.0,4.0,4.0,2.0,6.0,1.0,,6.0,1.0,1.0,5.0,,10.0,,,1.0,,,,,37.0,,,,24.0,,,,,,,4.0,,,,,,2.0,,,,,,,4.0,,,152.0,3.0,8.0,,,,,,,,,,,,127.0,1.0,,,1.0,1.0
Denmark,Sivholm,North-east Atlantic Ocean,100,Rocky,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,
Denmark,Sivholm,North-east Atlantic Ocean,100,Rocky,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,
Denmark,Sivholm,North-east Atlantic Ocean,100,Rocky,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,3.0,,,,,,,1.0,,,,,,1.0,,,,,,
Spain,"Punta de la Plata, Málaga",Mediterranean Sea,100,Pebbels,,6.0,,,2.0,,,2.0,,,,,,,,,,10.0,,,,,,8.0,,,5.0,,,,,6.0,,,,,,,,,,,,3.0,4.0,,,,,,,,,,,,2.0,0.0,,,,,,,,,2.0,1.0,,,,,,,,,,,,,,6.0,,,,
France,"Rue des Bénédictins Lancieux, 22770 Lancieux, France",North-east Atlantic Ocean,73,,,2.0,,,,,,1.0,,,,,,,,,,3.0,,,,,,25.0,,,20.0,3.0,,1.0,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,1.0,,,,,,3.0,,,,,,,,,,,,,,,,,,,2.0
Switzerland,Sihl_Adliswil_Oggi_Fort,,53,,,0.0,0.0,,0.0,0.0,,0.0,,,0.0,,,,,,,0.0,0.0,0.0,0.0,4.0,0.0,51.0,0.0,,17.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,,,,,,,0.0,0.0,0.0,,,,,,0.0,,,,,0.0,0.0,0.0,,,0.0,0.0,,,,,0.0,0.0,0.0,0.0,,,,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,,0.0,0.0
Switzerland,Sihl_Adliswil_Oggi_Fort,,53,,,0.0,4.0,,3.0,2.0,,0.0,,,,,,,,,,3.0,,,,,,78.0,,,35.0,,,,0.0,3.0,,,,,,,,0.0,,,,0.0,,0.0,,,,,,,,,,,,,,,,,,0.0,5.0,,,,0.0,,,,,,,,,,,,0.0,,,,,
Switzerland,Sihl_Adliswil_Oggi_Fort,,53,,,0.0,0.0,,0.0,0.0,,0.0,,,,,,,,,,1.0,,,,,,27.0,,,9.0,,,,0.0,0.0,,,,,,,,0.0,,,,0.0,,0.0,,,,,,,,,,,,,,,,,,0.0,0.0,,,,0.0,,,,,,,,,,,,0.0,,,,,
Switzerland,Sihl_Adliswil_Oggi_Fort,,53,,,0.0,0.0,,1.0,0.0,,0.0,,,,,,,,,,1.0,,,,,,62.0,,,16.0,,,,0.0,1.0,,,,,,,,0.0,,,,0.0,,0.0,,,,,,,,,,,,,,,,,,0.0,0.0,,,,0.0,,,,,,,,,,,,0.0,,,,,
France,"avenue des dunes, 85470 bretignolles sur mer, France",North-east Atlantic Ocean,76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Denmark,"MSFD Pomlenakke, Falster",Baltic Sea,100,Other (mixed),,,,,,,,1.0,,,,,,,,,,,,,,,,2.0,,,1.0,,,2.0,,2.0,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,1.0,,,1.0,,8.0,,,,,,,,,,,,,,,,,
Denmark,"MSFD Pomlenakke, Falster",Baltic Sea,100,Other (mixed),,,,,1.0,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,,,,,,1.0,,,,,,,,,,,,0.0,,,,2.0,,,,,,,,,,,,,,,,,
Denmark,"MSFD Pomlenakke, Falster",Baltic Sea,100,Other (mixed),,1.0,1.0,,1.0,1.0,,,,,,,,,,,,1.0,1.0,1.0,,,,,,,2.0,,,,,,,,,,,,,,,,1.0,8.0,,,,,,,1.0,,1.0,1.0,,,,,,,,,,6.0,,,6.0,,10.0,,,,,1.0,,,,,,,,,,,,
Denmark,"MSFD Pomlenakke, Falster",Baltic Sea,100,Other (mixed),,,2.0,,1.0,1.0,,5.0,,,,,,,,,,,,1.0,,,,1.0,,,2.0,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,1.0,,,,,,6.0,,,4.0,,36.0,,,,,,,,,,,,,,,1.0,1.0,
Denmark,"MSFD Pomlenakke, Falster",Baltic Sea,100,Other (mixed),,2.0,1.0,,2.0,6.0,1.0,2.0,,1.0,,1.0,,,1.0,,,5.0,2.0,9.0,1.0,,1.0,,,,2.0,,,,,,,,,,,1.0,,,,,5.0,3.0,,1.0,,,,,1.0,,,,,,,1.0,,,5.0,,,19.0,,,14.0,,22.0,,,,,1.0,,3.0,,,,,1.0,,,,,
Romania,N?vodari,Black Sea,100,Sandy,,2.0,149.0,14.0,6.0,12.0,,1.0,,1.0,13.0,,,,,,,17.0,,7.0,5.0,2.0,2.0,7.0,1.0,2.0,4.0,,4.0,26.0,3.0,22.0,6.0,,,,,,,,,,,39.0,,5.0,,,,,,,3.0,,,,,,,,,,,17.0,,,93.0,,8.0,,,,,,,,,,,,7.0,,,,1.0,3.0
Romania,N?vodari,Black Sea,100,Sandy,,,206.0,25.0,25.0,49.0,,37.0,,1.0,6.0,,,,,,,169.0,33.0,8.0,11.0,22.0,17.0,350.0,,2.0,290.0,9.0,16.0,44.0,2.0,36.0,15.0,1.0,,,,,,,,,16.0,26.0,,17.0,,5.0,,,,,1.0,,,,9.0,8.0,,,,,,216.0,,,76.0,5.0,114.0,4.0,,,,7.0,,,,,,1.0,13.0,,,2.0,1.0,1.0
Romania,N?vodari,Black Sea,100,Sandy,,18.0,49.0,2.0,13.0,11.0,,,,,1.0,1.0,,1.0,,,,,37.0,2.0,,,,,,,80.0,,1.0,15.0,,7.0,,,,,,,,,,,1.0,,1.0,,,,,,,,,,,,,7.0,,,,,,,4.0,,20.0,,,,,,,,,3.0,,,,,,,,,,
Romania,N?vodari,Black Sea,100,Sandy,,3.0,182.0,10.0,7.0,4.0,1.0,11.0,3.0,,1.0,,,,,,,130.0,1.0,22.0,11.0,8.0,4.0,84.0,,1.0,234.0,12.0,7.0,25.0,8.0,37.0,13.0,,,,,,,,,,4.0,60.0,1.0,,,,,,,,,,,,9.0,27.0,2.0,,1.0,,,82.0,,,65.0,,136.0,,,,,26.0,,,,,,10.0,18.0,,,,1.0,4.0
Italy,Foce del Chienti,Mediterranean Sea,99,,7.0,4.0,4.0,4.0,7.0,7.0,2.0,7.0,2.0,2.0,,,,2.0,4.0,2.0,,7.0,7.0,7.0,7.0,4.0,2.0,14.0,,2.0,7.0,7.0,3.0,7.0,7.0,7.0,1.0,1.0,1.0,1.0,3.0,3.0,4.0,3.0,3.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,3.0,,,,2.0,1.0,1.0,1.0,1.0,4.0,2.0,4.0,1.0,,,4.0,4.0,6.0,6.0,3.0,4.0,4.0,4.0,4.0,4.0,2.0,4.0,1.0,1.0,,,1.0,,,5.0
Greece,??????? ??????? ,Mediterranean Sea,1398,,,89.0,6.0,169.0,279.0,54.0,78.0,19.0,65.0,35.0,114.0,18.0,,,,12.0,,487.0,45.0,15.0,,19.0,304.0,204.0,,,19.0,,1.0,1.0,50.0,0.0,,,,,,,,23.0,,,,0.0,,0.0,,,,,,,1.0,,,,,,,,,1.0,,0.0,467.0,,,,0.0,,,,,,,,,,,,0.0,,,,,
Greece,??????? ??????? ,Mediterranean Sea,1398,,,5.0,,,3.0,2.0,3.0,,,,,,,,,,,,4.0,,,,1.0,21.0,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Italy,"1350 Via Litoranea, 00122 00122, Italie",Mediterranean Sea,84,,,50.0,,,8.0,10.0,,30.0,,,,,,,,,,10.0,,,,,3.0,100.0,,,20.0,100.0,10.0,10.0,5.0,3.0,,,,,,,,,,,,10.0,,,,10.0,,,10.0,,,,,,,,,,5.0,2.0,,,,,100.0,,100.0,,,,,,,,,,,,1000.0,,,,,10.0
Spain,"Arribolas, Bizkaia",North-east Atlantic Ocean,100,Sandy,,1.0,,,2.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,
Netherlands,Northern Texel beach,North-east Atlantic Ocean,1315,Sandy,,12.0,58.0,,4.0,1.0,,6.0,,,,,,,,,,33.0,,,,,,22.0,,,8.0,,,,6.0,42.0,,,,,,,,9.0,,,,469.0,,95.0,,,,,,,,,,,,,,,,,,5.0,57.0,,,,9.0,,,,,,,,,,,,3.0,,,,,
Switzerland,sempachersee_sempach_tampec,,16,,,2.0,0.0,,0.0,0.0,,0.0,,,0.0,,,,,,,0.0,1.0,0.0,0.0,0.0,0.0,18.0,0.0,,11.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,,,,,,,0.0,0.0,0.0,,,,,,2.0,,,,,0.0,0.0,17.0,,,0.0,0.0,,,,,1.0,0.0,5.0,0.0,,,,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,,0.0,0.0
Switzerland,sempachersee_sempach_tampec,,16,,,0.0,0.0,,0.0,0.0,,0.0,,,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,,,,,,,0.0,3.0,0.0,,,,,,0.0,,,,,0.0,0.0,22.0,,,0.0,0.0,,,,,7.0,0.0,4.0,0.0,,,,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,,0.0,0.0
Switzerland,sempachersee_sempach_tampec,,16,,,0.0,0.0,,0.0,0.0,,0.0,,,1.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,,6.0,2.0,0.0,0.0,0.0,1.0,,0.0,,,,,,,,,0.0,0.0,0.0,,,,,,0.0,,,,,0.0,0.0,11.0,,,0.0,0.0,,,,,5.0,0.0,3.0,0.0,,,,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,,0.0,0.0
Switzerland,sempachersee_sempach_tampec,,16,,,0.0,0.0,,0.0,0.0,,0.0,,,0.0,,,,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,4.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,,,,,,,0.0,0.0,0.0,,,,,,0.0,,,,,0.0,0.0,26.0,,,0.0,0.0,,,,,9.0,0.0,0.0,0.0,,,,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,,0.0,0.0
Romania,Vama Veche  2 Mai,Black Sea,2511,Other (mixed),,6.0,12.0,,30.0,47.0,3.0,6.0,,,,4.0,,,,,,4.0,,,,3.0,3.0,35.0,,,7.0,,,,3.0,6.0,,,,,,,,4.0,,,,2.0,,2.0,,,,,2.0,,,,,,,,,,,,,2.0,8.0,,,,5.0,,,,,,,,,,,,2.0,,,,,
Romania,Vama Veche  2 Mai,Black Sea,2511,Other (mixed),,24.0,35.0,,69.0,136.0,,29.0,,,,,,,,,,64.0,,,,,,43.0,,,22.0,,,,7.0,9.0,,,,,,,,,,,,13.0,,3.0,,,,,,,,,,,,,,,,,,10.0,9.0,,,,10.0,,,,,,,,,,,,1.0,,,,,
