BeachCountry,BeachName,BeachRegionalSea,BeachLength_m,BeachType,G1,G3,G4,G5,G7,G8,G9,G10,G11,G12,G13,G14,G15,G16,G17,G18,G19,G21,G22,G23,G24,G25,G26,G27,G28,G29,G30,G31,G32,G33,G34,G35,G36,G37,G40,G41,G42,G43,G44,G45,G46,G47,G49,G50,G52,G53,G54,G56,G57,G58,G59,G60,G62,G63,G64,G65,G66,G67,G68,G69,G70,G71,G72,G73,G76,G77,G79,G80,G82,G83,G84,G85,G86,G87,G88,G89,G90,G91,G92,G93,G95,G96,G97,G98,G99,G100
Switzerland,katzenbach_zuerich_sanesim,,99,Other (mixed),,,,,,,,,,,,,,,,,,,,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Switzerland,katzenbach_zuerich_sanesim,,99,Other (mixed),,,1.0,,,1.0,,1.0,,,,,,,,,,,,,,,,3.0,,,1.0,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,
Switzerland,katzenbach_zuerich_sanesim,,99,Other (mixed),,,,,1.0,,,,,,,,,,,,,,,1.0,,1.0,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Switzerland,katzenbach_zuerich_sanesim,,99,Other (mixed),,1.0,,,1.0,,,,,,,,,,,,,2.0,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Switzerland,katzenbach_zuerich_sanesim,,99,Other (mixed),,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,1.0,,,,,,,,,,1.0,,,,,,
Italy,Free beach Viale Circe,Mediterranean Sea,100,Sandy,,2.0,,,,,3.0,,,,,,,,,,,92.0,,,22.0,12.0,8.0,1500.0,5.0,,18.0,23.0,14.0,7.0,18.0,25.0,,1.0,,,,,,,,,,,,,3.0,7.0,,,17.0,7.0,6.0,,,1.0,3.0,,4.0,,,,,,,,360.0,,42.0,,,,,12.0,,,,,,3.0,20.0,5.0,,,,18.0
Greece,Lithi,Mediterranean Sea,49,Sandy,,5.0,2.0,,8.0,2.0,,5.0,,1.0,,1.0,,,,,,104.0,12.0,24.0,12.0,19.0,50.0,658.0,,,10.0,4.0,4.0,10.0,4.0,93.0,,,4.0,,,,,,,,30.0,57.0,,,,,,,23.0,18.0,5.0,,,,1.0,2.0,,,,1.0,,4.0,,1.0,444.0,19.0,6.0,,,,,,,,,,,7.0,96.0,,,1.0,1.0,1.0
France,"Rue Tutilenia Bidart, 64210 Bidart, France",North-east Atlantic Ocean,81,,,1000.0,,,5.0,5.0,,50.0,,,,,,,,,,20.0,,,,,2.0,20.0,,,,2.0,2.0,,,,,,,,,,,,,,,5.0,,,,5.0,,,5.0,,,,,,,,,,5.0,3.0,,,,,500.0,,500.0,,,,,,,,,,,,5.0,,,,,
Spain,"El Serradal, Castellón/Castelló",Mediterranean Sea,100,Sandy,,11.0,,,4.0,,,1.0,,,,,,,,,,7.0,,,,,,47.0,,,6.0,,,,,6.0,,,,,,,,,,,,3.0,5.0,,,,,,6.0,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,3.0,6.0,,,,
Greece,"Freattyda, Piraeus",Mediterranean Sea,281,Other (mixed),,46.0,,,50.0,18.0,4.0,,23.0,11.0,1.0,,,,,1.0,,350.0,,,,7.0,46.0,140.0,,,51.0,,,106.0,,464.0,,,,,,,,,,,,20.0,,5.0,,,,11.0,,,,3.0,,,10.0,2.0,,,,,,1.0,,,335.0,,285.0,,,,,,,50.0,,,,,20.0,,,,2.0,
Denmark,Seden Strand,Baltic Sea,286,,,2.0,2.0,1.0,,1.0,,,1.0,1.0,,,,,,,,3.0,,,,2.0,1.0,2.0,,,2.0,,,6.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,2.0,,,,,,2.0,,,20.0,,,,,,4.0,2.0,,,,,,,,,,,,,,3.0,,1.0,,
France,"29 Rue des Dunes, 17580 Le Bois-Plage-en-Ré, France",North-east Atlantic Ocean,77,,,9.0,,,6.0,10.0,,10.0,,,,,,,,,,20.0,,,,,4.0,200.0,,,10.0,100.0,1.0,15.0,5.0,,,,,,,,,,,,,50.0,,,,20.0,,,2.0,,,,,,,,,,,10.0,,,,,10.0,,30.0,,,,,,,,,,,,5.0,,,,,4.0
Spain,"Cala Salitrona, Murcia",Mediterranean Sea,100,Sandy,,,,,680.0,,,,,,19.0,,,,,,,183.0,,,,,,,,,,,,,,630.0,,,,,,,,,,,,,,,,,4.0,,,,,,,,,0.0,,,,,,,,,475.0,88.0,,,,,,,,,,,,,,0.0,,,,
Bulgaria,obzor detski lager,Black Sea,2805,Sandy,,,13.0,,14.0,11.0,1.0,,2.0,,,,,,,,,27.0,,3.0,9.0,4.0,3.0,16.0,,,8.0,1.0,,5.0,3.0,4.0,,,,,,,,,,,2.0,,,,,,,,4.0,,,,,1.0,,,,,,4.0,,,15.0,1.0,,,,15.0,,,,,,2.0,,,,1.0,,1.0,1.0,3.0,2.0,
Bulgaria,obzor detski lager,Black Sea,2805,Sandy,,9.0,2.0,,17.0,29.0,5.0,,,,,,,,,,1.0,53.0,12.0,16.0,62.0,,8.0,,3.0,2.0,5.0,6.0,6.0,31.0,3.0,7.0,,1.0,,,,,,,,,2.0,2.0,2.0,,,1.0,,,,,,,,,,,,,,7.0,,,54.0,5.0,13.0,3.0,,3.0,,,,,,24.0,,,,2.0,,1.0,,,1.0,3.0
Bulgaria,obzor detski lager,Black Sea,2805,Sandy,,7.0,54.0,,18.0,29.0,,,,,,,2.0,,,,,47.0,,,,,3.0,135.0,,,10.0,14.0,,37.0,,8.0,,1.0,,2.0,,,,,,,,5.0,2.0,,,,,,,,,,,,,,,,,,,,32.0,7.0,,,15.0,,,,1.0,,,,,,,,,,,,1.0,
France,"Avenue des Cavaliers Anglet, 64600 Anglet, France",North-east Atlantic Ocean,81,,,20.0,,,1.0,6.0,,,,,,,,,,,,,,,,,5.0,30.0,,,9.0,,,2.0,,,,,,,,,,,,,,9.0,,,,,,,1.0,,,,,,,,,,13.0,2.0,,,,,25.0,,14.0,,,,,,,,,,,,7.0,,,,,
Switzerland,zürichsee_wollishofen_langendorfm,,50,Rocky,,,4.0,,,,,1.0,,,,,,,,,,2.0,,,1.0,2.0,1.0,97.0,,,30.0,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Switzerland,zürichsee_wollishofen_langendorfm,,50,Rocky,,,,,,,,19.0,,,,,,,,,,3.0,,,2.0,2.0,,280.0,,,,1.0,,,3.0,,,,,,,,,,,,,,,,,,,,1.0,,,,,,4.0,19.0,,,,,,,,,,4.0,,,,,,,,,,,,3.0,,,,,,1.0
Switzerland,zürichsee_wollishofen_langendorfm,,50,Rocky,,,1.0,,1.0,,,1.0,,,,,,,,,,,,1.0,,3.0,1.0,10.0,,,3.0,2.0,1.0,3.0,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,4.0,,,,,,,,,2.0,,1.0,,,,,,,,,,,,,,,,,
Switzerland,zürichsee_wollishofen_langendorfm,,50,Rocky,,2.0,1.0,,,,,,,,,,,,,,,,,1.0,1.0,3.0,104.0,104.0,,,8.0,,,2.0,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,13.0,,,,,,,,,5.0,,,,,,,,,,,,,,2.0,,,,,
Switzerland,zürichsee_wollishofen_langendorfm,,50,Rocky,,1.0,3.0,,,,,,,,,,,,,,,1.0,,2.0,3.0,4.0,,8.0,,,2.0,,1.0,1.0,1.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,1.0,,,,,,,,,,,,
Ireland,silver strand 1000,North-east Atlantic Ocean,446,,,0.0,0.0,,0.0,0.0,,0.0,,,,,,1.0,,,,0.0,,,,,,0.0,,,0.0,,,,0.0,0.0,,,,,,,,0.0,,,,0.0,,1.0,,,,,,,,,,,,1.0,,,,,,0.0,0.0,,,,0.0,,,,,,,,,,,,0.0,,,,,
Ireland,silver strand 1000,North-east Atlantic Ocean,446,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ireland,silver strand 1000,North-east Atlantic Ocean,446,,,0.0,0.0,,0.0,0.0,,0.0,,,,,1.0,,,,,0.0,,,,,,0.0,,,0.0,,,,0.0,0.0,,,,,,,,0.0,,,,0.0,,0.0,,,,,,,,,,,,1.0,,,,,,0.0,0.0,,,,0.0,,,,,,,,,,,,0.0,,,,,
Italy,"Spiaggia di Trentova, Agropoli (SA)",Mediterranean Sea,100,,,,,2.0,,,2.0,,,,,1.0,,,,,,56.0,,,,,9.0,,,,,,,19.0,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,9.0,,,1.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,
Ireland,Lawlors Strand,North-east Atlantic Ocean,195,Sandy,,1.0,,,2.0,,,,,,,,,,,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,4.0,,7.0,,,,,,,,,,,,,,,,,,,7.0,,,,4.0,,,,,,,,,,,,,,,,,
Spain,ospar mutriku 2,North-east Atlantic Ocean,29,Rocky,,16.0,,,39.0,,,,,,,,,,,,,38.0,,,,,2.0,9.0,,,,,,1.0,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,236.0,,,,,,,,,,,,,,,,,,,,,5.0
